id,trimestre_nacimiento,anios_educacion,log_ingresos,habilidad
771,4,13.1,9.1733,0.7123
772,2,11.8,9.7373,0.1426
773,3,11.1,9.4717,0.3205
774,1,13.9,10.3944,2.0745
775,2,10.2,8.5159,-0.3245
776,2,10.8,7.8711,-0.8798
777,4,12.8,9.0249,-0.3005
778,3,14.3,9.4578,-0.1043
779,2,11.5,7.8665,-0.5569
780,4,12.4,9.2209,-0.2965
781,3,13.1,8.563,-0.6656
782,1,11.6,9.1975,0.385
783,4,12.5,8.7303,-0.1609
784,2,11.2,8.186,-1.2874
785,4,14.2,9.7971,1.7255
786,3,13.4,9.1416,0.5935
787,3,11.4,9.0207,0.1479
788,3,10.4,8.2965,-1.0632
789,2,13.5,9.647,1.5522
790,1,10.9,8.7997,-0.3345
791,3,13.1,9.7098,1.4247
792,4,13.6,9.4034,0.1133
793,4,12.5,10.1525,1.1775
794,2,14.7,9.1263,0.7053
795,1,12.5,10.2119,1.58
796,1,12.1,8.8385,0.3073
797,4,10.1,9.2943,0.6852
798,1,11.2,7.4601,-1.1355
799,1,13.5,9.7261,0.4164
800,2,14.8,9.5779,2.2672
801,4,13.1,9.5957,-0.2713
802,2,13.5,10.0153,0.9105
803,2,11.1,8.7645,-1.1966
804,2,12.6,8.4577,-0.4889
805,4,14.9,9.4798,0.5223
806,1,12,11.0868,2.4975
807,3,12.9,8.9661,1.383
808,4,12.4,9.2427,0.0184
809,3,13.6,8.692,0.1489
810,3,10.5,9.3538,0.711
811,3,13,9.479,0.7932
812,1,10.9,8.5203,0.9656
813,1,11.1,8.4513,-0.7606
814,4,10.9,8.4604,-0.3483
815,3,12.9,10.0928,0.7155
816,2,13.4,9.1261,0.6162
817,1,10.7,8.755,-0.3492
818,2,11.7,8.3606,0.3125
819,4,11.7,7.9498,-0.2139
820,3,8.2,7.9843,-1.1792
821,4,12,9.1963,0.4384
822,2,12,10.4073,1.1089
823,2,14.6,9.8614,1.5763
824,2,10.8,9.1606,0.8471
825,4,12.4,8.7659,0.4763
826,2,12.1,8.9579,0.4187
827,2,10.8,7.7335,-2.0785
828,3,12,8.7083,-0.693
829,1,10.9,8.6893,-0.9823
830,4,11.7,9.0262,-0.5654
831,3,9.7,8.0073,-1.6889
832,3,11,8.9391,-0.1926
833,4,13.9,9.5774,-0.6719
834,3,12.1,9.2959,0.8255
835,2,12.8,9.0475,0.7109
836,1,12.3,8.658,-0.9606
837,2,9.5,7.5724,-1.8787
838,1,12.2,9.5011,1.2414
839,2,10.4,8.9221,0.0079
840,2,13.3,10.3808,1.7466
841,1,12.5,8.9107,0.2627
842,4,14,9.9051,1.9243
843,4,15.7,9.9345,1.451
844,3,12.9,9.013,1.3529
845,4,12.2,9.5692,0.8481
846,3,15.3,9.068,0.917
847,2,13,8.9952,0.3561
848,3,13,10.1171,1.0094
849,4,11.4,9.2246,0.9351
850,2,10.9,8.9059,-0.9294
851,1,12.1,7.704,-0.9903
852,4,12.1,8.8116,-0.0268
853,2,9.7,8.3682,-0.6836
854,2,12.3,9.0129,-0.1132
855,3,12.7,10.0761,0.9994
856,4,13,10.1165,1.094
857,4,12.3,8.7037,-0.9673
858,3,10.9,8.6702,-0.4673
859,4,11.6,8.6611,0.1214
860,4,12.2,9.4066,0.5569
861,4,12.3,9.3067,-0.3169
862,4,12.4,9.1238,-0.3189
863,3,12.7,10.2795,0.5748
864,2,13.8,9.9778,1.7773
865,3,12.8,9.4313,0.1509
866,4,14.3,9.5188,0.555
867,1,11.1,8.9442,0.0248
868,1,11.6,10.2492,0.3761
869,3,10.6,8.4552,-1.4175
870,1,11.8,9.6999,1.3715
871,3,12.1,7.7735,-2.1628
872,1,11.3,9.5575,-0.026
873,3,13.9,9.7171,0.9159
874,2,9.3,8.1273,-2.1153
875,3,10.8,8.8965,-1.1171
876,1,11.1,8.1832,-0.5671
877,3,14.3,9.2588,1.3093
878,4,12.2,10.1235,0.7881
879,2,13,9.0239,-0.1279
880,3,12.4,8.649,0.0493
881,2,13.8,9.585,0.9329
882,2,10.9,7.8453,-1.54
883,2,11.2,8.5593,-1.1357
884,4,11.7,8.2557,-1.0795
885,3,14.2,9.7258,0.9808
886,3,10.4,8.6377,0.5128
887,4,13.7,8.1853,-0.1922
888,3,12.1,9.4326,0.0596
889,3,10.9,8.5609,-1.2604
890,1,11,9.5044,-0.5409
891,1,10,8.2804,-0.7901
892,3,12.2,8.2679,-0.2809
893,2,13.1,9.3235,1.309
894,3,11.1,7.932,-1.9705
895,1,13.5,9.5358,1.0897
896,1,13.2,9.3676,0.532
897,1,11.5,8.9189,-0.3517
898,4,14.2,9.8737,1.308
899,3,13.8,10.2206,0.206
900,2,12.3,8.6457,-0.7884
901,3,14.1,8.5511,-0.5553
902,3,11.2,9.563,1.1226
903,4,11.4,8.4603,0.4356
904,4,11.9,8.5651,-0.8249
905,2,11.8,9.0595,-0.1514
906,4,12.6,9.3607,0.4953
907,3,12.7,9.5629,0.683
908,3,13.3,9.3905,1.3167
909,3,11.9,7.6324,-1.5421
910,4,12,8.4443,-0.3807
911,4,14,9.5617,0.6073
912,3,14.2,9.7211,1.3435
913,4,12.3,8.2805,-0.3024
914,1,13,9.6547,0.9721
915,3,10.4,7.9855,-1.2474
916,2,13.1,9.4112,0.5975
917,1,13.2,9.4987,0.1509
918,1,9.5,8.3299,-0.5928
919,3,13.2,9.8717,1.5176
920,2,9.6,8.5996,0.3084
921,4,12.4,9.0247,-0.3587
922,2,13.9,9.8605,1.5593
923,3,10.4,8.4536,-0.3884
924,3,11.2,8.5376,-0.0094
925,2,12.2,8.5969,-0.4645
926,2,11.7,8.6678,-1.0001
927,4,12.9,9.5984,1.1434
928,3,13.3,9.495,1.1323
929,2,13.5,8.7104,-0.0874
930,4,13.1,10.4473,1.0938
931,3,11.9,9.1465,-0.1862
932,4,12.8,9.183,0.6341
933,4,12.4,8.0374,-0.9572
934,4,14.6,9.8915,1.2836
935,3,11.7,9.2808,0.1423
936,1,12.7,9.8955,1.9083
937,1,9.7,7.0015,-1.8172
938,3,11.2,9.3806,-0.7149
939,3,11.3,8.4173,-0.8947
940,3,11,8.6825,-2.6334
941,2,13.1,8.6153,-0.9508
942,1,11.8,8.5117,-0.794
943,1,10.4,9.1283,0.3794
944,2,11.9,7.901,-1.3313
945,3,13.6,9.3652,0.9844
946,2,11.3,8.0562,-0.2363
947,2,12.5,10.0322,1.044
948,1,11.6,9.8905,0.8785
949,1,11.3,8.646,-0.0915
950,2,12.8,10.3056,2.027
951,3,12.5,8.8779,-0.5102
952,3,12,8.8244,-0.1838
953,1,11.7,9.7713,2.5908
954,2,12.7,9.5849,0.5896
955,1,12.7,9.7819,0.8987
956,1,9.3,9.2518,-0.232
957,4,10.4,9.4384,0.377
958,3,12.7,7.9361,-1.9053
959,3,10.7,7.6397,-2.8229
960,3,11.9,9.4993,1.4499
961,4,12.4,8.1945,-1.2268
962,1,10.4,7.9073,-1.121
963,2,12,9.5909,0.3176
964,4,13,8.5146,-0.2923
965,3,13,8.9875,-0.0912
966,1,11.1,8.8441,-0.3569
967,2,11.6,7.8392,-2.5917
968,3,13.3,9.4279,0.3537
969,4,10.6,8.372,-0.7229
970,1,11.6,8.4062,-1.0981
971,3,11.5,8.5192,-1.0009
972,4,16.3,10.0853,2.3264
973,3,11.8,8.98,-0.4612
974,3,14,9.6438,1.8039
975,2,12,9.8665,1.7526
976,4,11.4,8.2213,-0.5024
977,2,12.6,9.5509,0.47
978,4,15.6,8.6706,-0.9501
979,2,10.2,8.3002,-1.0085
980,1,13.4,9.7659,1.6694
981,4,13.1,10.2351,1.7996
982,3,9.6,8.7286,-1.6821
983,3,13.9,9.1397,-0.1585
984,1,12.2,8.874,0.2557
985,2,11.1,9.0413,-0.4725
986,3,12.6,10.0344,0.3732
987,2,13.4,10.0701,1.0822
988,2,13.1,9.3987,0.8236
989,1,10.4,7.977,-0.9026
990,3,13.6,9.317,0.5444
991,1,11.4,8.921,1.0733
992,2,12.7,9.0242,-0.6439
993,3,12.8,8.616,-0.9548
994,3,14.1,9.962,1.7809
995,3,12.3,9.4907,-0.0209
996,4,13.9,9.956,1.5483
997,1,12.3,8.673,-0.0389
998,3,11.1,7.6764,-1.1731
999,4,11.4,8.4426,-0.849
1000,4,13.7,8.914,-0.6273
1001,2,12.3,9.0495,-0.4112
1002,4,12.1,8.4736,-0.278
1003,3,12.5,8.7048,0.4026
1004,4,13.9,9.184,0.4568
1005,4,12.8,9.2695,-0.4376
1006,4,13.1,10.2064,1.3651
1007,2,10.3,8.8106,-0.5085
1008,3,11.4,9.3767,0.0308
1009,1,12.3,9.4638,0.4128
1010,2,13,9.2962,0.5235
1011,3,10.4,8.4035,-0.3675
1012,3,13,8.427,-0.5116
1013,2,11.3,7.8073,-1.1239
1014,4,12.4,8.8594,0.3431
1015,3,10.7,8.1422,-1.1184
1016,2,10.9,8.8745,-0.7739
1017,4,14.4,9.7997,1.4649
1018,2,11,8.6709,-0.9551
1019,2,11.9,8.284,-0.3555
1020,1,11.1,9.3896,0.1521
1021,3,10.7,8.841,-0.7311
1022,1,10.5,8.4616,0.2165
1023,2,13,9.0853,-0.6621
1024,4,12.8,8.6561,0.3843
1025,2,11.9,8.5655,-0.2304
1026,1,12.2,8.899,-0.4188
1027,4,12,9.1293,0.1539
1028,1,12.2,8.4788,-0.575
1029,1,11.9,8.9831,-0.3034
1030,1,9.8,8.4557,-1.0029
1031,3,11.1,8.099,-0.2091
1032,1,11.3,9.1862,0.0518
1033,3,11.7,8.7912,0.1209
1034,2,10.8,8.5943,-0.8043
1035,4,13.5,8.9556,0.538
1036,4,10.9,8.1584,-0.7403
1037,1,9.9,8.4496,-1.1206
1038,4,12.9,9.2826,1.0568
1039,2,13.1,10.2812,1.359
1040,1,12.9,10.154,1.7908
1041,4,12.9,8.8012,-0.9072
1042,4,10.1,7.9039,-2.5405
1043,4,13.3,9.5253,0.2241
1044,2,11,8.9742,-1.0558
1045,1,10.9,9.0639,-0.8497
1046,1,8.8,7.7457,-1.3945
1047,3,11,7.8232,-1.0573
1048,3,12.7,9.8227,0.8487
1049,1,13.5,9.2701,-0.3436
1050,1,10.7,7.9168,-0.802
1051,3,10.8,9.8462,0.9688
1052,3,11.5,8.3998,-0.0176
1053,3,13.9,10.2932,1.7865
1054,3,11.8,8.9723,0.129
1055,3,12.8,9.7108,0.3613
1056,2,10.5,10.149,0.6339
1057,2,13.9,8.9972,1.1119
1058,4,11.2,8.3298,-0.7424
1059,3,13.5,9.5606,-0.3501
1060,3,13,7.5624,-0.6485
1061,4,15,8.5573,-0.2328
1062,2,12,8.2854,-0.6484
1063,4,11.1,9.3807,-0.8688
1064,1,9.7,8.0346,-1.2535
1065,1,9.9,8.7238,-0.4458
1066,3,11.7,9.2429,0.7041
1067,2,10.8,8.7069,-0.8064
1068,3,10,8.2293,-0.5964
1069,4,13.4,10.1621,1.1679
1070,3,10.1,7.7324,-2.1193
1071,1,13.1,8.7266,-0.4934
1072,1,10.7,9.2495,0.4965
1073,2,12.6,8.9581,0.5133
1074,2,11.4,9.0005,-0.1125
1075,2,11.4,8.3474,-1.1017
1076,3,12,9.248,0.9794
1077,3,13.8,8.7673,-0.6551
1078,3,10.4,7.6154,-2.151
1079,2,11.3,9.4824,0.0437
1080,1,12,8.3,-1.9755
1081,3,12.8,8.8637,-0.7031
1082,4,12.4,8.9769,-0.3039
1083,3,12.5,8.6394,-0.6695
1084,4,11.2,8.6317,0.3401
1085,2,11,9.638,-0.4788
1086,4,13.8,8.6468,-1.5556
1087,2,11.2,8.8946,-0.1371
1088,3,13,9.8506,0.6595
1089,2,12,8.1789,-0.8458
1090,4,12.1,8.5004,-0.4991
1091,4,12.8,9.5031,0.2042
1092,1,12,8.1518,-0.3007
1093,1,11.8,8.8134,-0.2717
1094,4,13.5,8.7456,0.2211
1095,4,12.5,8.358,-0.5521
1096,3,10.1,9.1607,-0.581
1097,3,14.8,9.4224,1.0236
1098,4,11.9,8.753,-0.16
1099,2,9.6,7.6495,-1.2201
1100,1,11.3,8.9696,0.7321
1101,3,13,9.4783,0.2347
1102,3,12.2,8.1196,-0.5729
1103,2,11.5,9.0499,0.6072
1104,1,12.1,9.831,1.1772
1105,3,12,9.2511,0.8618
1106,3,13.3,8.7391,0.4154
1107,3,12.8,8.3987,-0.8331
1108,1,10.2,8.2071,-0.952
1109,3,13.8,9.5756,0.8893
1110,4,12.6,8.9257,1.1526
1111,1,12.5,8.7318,0.3151
1112,1,11,9.1239,1.0116
1113,2,11.4,9.2232,0.1501
1114,1,9.9,8.6819,-1.5124
1115,3,13,8.546,-0.2019
1116,4,12.1,7.6989,-0.7744
1117,4,12.8,8.724,-0.1017
1118,3,11.3,8.3729,-0.9143
1119,2,13,10.0834,1.5088
1120,1,14.2,9.3492,0.007
1121,1,10,8.2661,-0.0576
1122,1,9.8,8.7386,0.5233
1123,4,11.2,9.2346,-0.0817
1124,2,10.6,7.5544,-1.851
1125,3,10.7,8.7883,-0.0435
1126,3,12.2,9.4106,0.095
1127,1,12,8.3837,0.0858
1128,3,12.7,9.495,0.4811
1129,4,11.6,7.655,-1.8368
1130,4,11.6,8.7677,-0.8356
1131,1,12.9,9.9088,0.6619
1132,4,12,9.5067,0.4948
1133,3,11.5,9.1579,0.1816
1134,4,11.3,8.1288,-0.4714
1135,3,11.7,9.0422,0.7035
1136,1,12.2,9.7448,2.09
1137,2,11.1,8.9917,-0.0078
1138,1,11.8,8.9844,3e-4
1139,2,10.1,8.4673,-0.7071
1140,1,13.3,9.2105,0.3698
1141,2,11.9,10.1233,1.6323
1142,3,14.7,9.6992,1.2286
1143,4,14.1,9.6526,0.8631
1144,2,13,8.6436,-0.0829
1145,3,11.9,8.9542,0.9845
1146,1,12.3,8.997,0.0138
1147,2,12.3,9.1232,1.0164
1148,3,11.7,9.5079,1.1277
1149,2,10.2,8.5391,-1.5171
1150,4,13.1,9.331,0.1804
1151,3,9.6,7.84,-0.9569
1152,1,12.7,8.5298,0.7766
1153,3,12.1,8.6559,-0.4751
1154,3,14.5,9.3213,0.7071
1155,2,12.1,9.0809,-1.0822
1156,3,11.5,8.2764,-1.6219
1157,1,10.3,8.5829,-0.5695
1158,1,11.2,9.5688,1.0298
1159,1,11.6,9.4663,0.9948
1160,1,10.5,8.4013,-1.2562
1161,1,12.5,8.9955,0.8045
1162,2,13.2,10.2041,0.2828
1163,1,10.9,9.2549,0.1639
1164,1,11.3,8.2154,-1.1169
1165,2,12.9,9.1004,-0.1812
1166,1,11.1,8.4356,-0.8395
1167,2,10.9,8.2908,-1.0958
1168,2,12.9,9.1955,0.0189
1169,1,9.8,7.7534,-1.8205
1170,4,12.2,9.0776,-0.4266
1171,2,11.7,8.981,0.0487
1172,3,10.3,7.6117,-1.7908
1173,3,12.8,8.8018,-0.4574
1174,4,12.5,9.2128,0.2688
1175,4,11.4,8.2081,-0.4439
1176,2,11.2,8.3605,0.075
1177,1,10.6,8.5463,-0.1219
1178,2,10.7,8.5233,-1.2132
1179,3,10.8,7.9947,-1.6914
1180,4,14.6,10.1168,1.1367
1181,1,9.4,8.3287,-0.588
1182,3,13.7,8.8857,-0.2695
1183,4,13.2,8.9191,0.3213
1184,4,12.8,9.6437,0.6315
1185,2,12.6,10.044,1.7142
1186,1,11.8,9.1848,0.6699
1187,4,12.9,8.9381,-0.2118
1188,2,13.9,10.1855,1.3092
1189,4,12.4,9.3942,0.5914
1190,4,11.3,9.133,-0.2058
1191,4,14.3,9.758,0.3396
1192,4,10.8,7.0159,-1.9913
1193,2,12.6,8.7703,0.9846
1194,3,13.9,8.3412,-0.3646
1195,3,12.8,9.0628,0.4364
1196,3,14.3,9.5331,0.9817
1197,1,12.9,9.4541,1.005
1198,4,12.1,8.4303,-0.9411
1199,1,9.9,8.2739,-0.6006
1200,2,9.1,8.1114,-1.7369
1201,2,12.4,8.8266,0.09
1202,4,12.1,8.7614,-0.3413
1203,4,10.9,8.5598,-0.6003
1204,4,12.3,9.8882,1.7633
1205,3,12.2,9.0775,1.025
1206,3,10.8,9.6024,0.1671
1207,3,11.9,8.4558,-0.5936
1208,1,11.5,9.1767,0.0674
1209,3,12,9.8132,1.5422
1210,1,12.2,9.2767,0.1503
1211,1,11.1,9.2905,0.657
1212,3,14.8,9.5881,0.8896
1213,1,10.6,9.1486,-0.6142
1214,4,11.3,8.7414,-0.4139
1215,3,10.5,8.326,-0.8571
1216,1,12.6,9.6124,1.5586
1217,3,12,8.7999,-0.3688
1218,4,12,8.9409,-1.1267
1219,1,10.5,9.1744,0.5508
1220,3,12.6,8.9034,0.2729
1221,4,11.5,8.0274,-2.1106
1222,2,13.4,8.7838,-1.0346
1223,1,10,8.4072,-1.1707
1224,1,8.5,7.4152,-1.8815
1225,2,11.7,8.7737,-1.1053
1226,2,10,7.918,-1.1313
1227,3,13.1,8.907,0.5218
1228,3,12.9,9.6205,1.0699
1229,2,9.1,8.1495,-1.2694
1230,1,14.7,9.5937,1.5363
1231,3,11.8,9.6755,0.4894
1232,1,13.1,10.4596,2.3377
1233,3,12.2,9.3678,0.2458
1234,4,10.8,7.6079,-1.6973
1235,2,9.8,7.9599,-2.1311
1236,1,11.7,8.114,0.2995
1237,3,11.1,7.1383,-1.7467
1238,2,10,8.2506,-0.8827
1239,2,12.3,8.9255,-0.1667
1240,1,11.7,9.2276,0.4246
1241,4,13.4,10.6202,1.038
1242,1,10.7,9.7593,1.1756
1243,4,13.4,8.5081,-0.6228
1244,4,13.8,9.1345,-0.2352
1245,3,14.6,10.2535,1.5997
1246,1,10.9,8.4759,-0.5075
1247,4,14.6,9.3362,0.9094
1248,2,10.5,8.6179,0.2246
1249,4,12.3,8.9638,-0.4294
1250,3,13,8.7371,-0.9147
1251,2,9.8,7.8677,-1.5182
1252,1,10.7,8.8045,-0.7814
1253,2,12.4,9.4988,0.0774
1254,3,11.9,9.3406,0.5218
1255,2,12.4,7.5947,-0.5408
1256,1,11.2,8.4397,-0.3827
1257,2,10.9,7.6504,-0.8609
1258,1,12.2,9.6099,1.1559
1259,1,12.6,9.5912,1.36
1260,1,13.4,9.0596,0.2662
1261,3,12.2,8.1642,-0.1237
1262,4,12.2,9.3497,0.1468
1263,1,11.8,9.4782,0.6135
1264,4,12.6,8.7656,-0.2981
1265,1,12.4,9.301,0.7529
1266,3,12.4,9.3836,1.0777
1267,4,10.3,9.3359,-0.0709
1268,2,11.1,8.3774,0.0822
1269,2,12.4,8.4927,0.1515
1270,3,11.5,9.0697,-0.7179
1271,3,12,8.2614,-1.3631
1272,3,12.8,9.855,1.493
1273,3,14.4,9.5954,1.5026
1274,3,12.4,8.8056,0.7588
1275,3,10.6,8.5125,-0.4357
1276,1,11.2,10.2443,1.6809
1277,2,12.2,8.8255,-0.0011
1278,1,10.5,8.8819,0.4586
1279,1,12,9.3379,0.5258
1280,2,11.3,9.116,0.0234
1281,3,13.1,8.6662,-0.2198
1282,4,13.9,9.6674,0.7029
1283,2,10.1,9.1142,1.0332
1284,2,11.4,8.8135,-0.0169
1285,2,10.8,8.3757,-0.846
1286,4,13.5,9.6562,0.441
1287,1,10.2,8.9175,-0.4089
1288,3,11.8,10.2557,1.9339
1289,4,12.2,9.0281,-0.5156
1290,1,10.7,8.4722,-0.016
1291,1,11.9,7.7209,-1.1127
1292,1,11.4,9.1877,-0.4016
1293,3,11.5,8.9204,-0.63
1294,2,11.9,8.7258,-0.9829
1295,3,14,9.6006,0.9981
1296,4,13.7,9.5183,0.956
1297,1,10.2,8.2581,-0.9362
1298,3,10.5,8.6979,-1.2342
1299,4,15.1,9.1302,0.6945
1300,2,12.7,9.8858,1.0287
1301,1,12.6,9.6339,0.204
1302,1,10,8.3391,-1.1388
1303,2,13.7,10.1831,2.2334
1304,2,13.7,8.6033,-0.3485
1305,3,12.1,9.1986,1.0319
1306,3,9.9,7.6236,-1.2047
1307,1,9.5,8.0389,-1.3338
1308,4,11.4,8.7873,-1.3471
1309,3,12.7,8.9081,-0.0131
1310,1,8.9,8.5908,-0.8194
1311,4,11.8,8.8915,-0.0888
1312,1,11.4,8.8718,-0.3299
1313,1,12.7,9.7978,0.3528
1314,4,15.4,9.189,0.831
1315,2,13.6,9.0272,0.1049
1316,2,13.6,9.1235,-0.1412
1317,1,11.8,9.3247,0.4504
1318,2,12.3,9.3618,0.3904
1319,1,12,8.2702,0.3153
1320,3,10.3,8.6459,-0.6555
1321,1,10.8,9.7145,1.0999
1322,3,13.4,9.1081,0.4896
1323,3,14.1,9.7357,0.2151
1324,4,12.7,7.2701,-2.0983
1325,4,14.7,9.8804,1.3685
1326,3,11.7,8.8243,-0.2024
1327,1,10.6,9.1507,-0.7417
1328,2,13.7,9.6677,2.5455
1329,1,14.5,9.0779,1.213
1330,4,10.8,8.1858,-0.5968
1331,2,10.9,8.9226,-0.742
1332,3,12.9,8.9921,0.3964
1333,4,14.3,9.5947,0.3678
1334,1,11.3,8.7816,-0.0613
1335,2,12.7,8.9521,0.1781
1336,3,12.7,9.3981,1.08
1337,2,11.4,8.6545,-1.2115
1338,3,12.1,9.837,1.0343
1339,2,10.8,9.0131,0.3566
1340,3,14.9,9.3141,1.0765
1341,1,9.2,8.8012,0.087
1342,3,11,7.7486,-1.5889
1343,2,12,9.3224,0.2856
1344,4,13.8,9.2404,0.26
1345,4,12,8.9058,-0.4328
1346,4,13,8.2835,0.4532
1347,4,15.4,9.4042,0.1546
1348,1,12.3,9.0589,-0.0446
1349,4,13.1,9.4413,0.555
1350,4,12.1,8.3073,-1.3464
1351,2,12.2,9.5355,1.9974
1352,4,10,8.2183,-0.4461
1353,4,11.2,8.2367,-0.7375
1354,3,11.3,8.2578,-1.5168
1355,3,11.1,9.0309,0.4579
1356,2,12.8,9.5091,0.6735
1357,2,8.6,7.8052,-1.9262
1358,1,11.7,9.2391,0.1578
1359,3,11.6,9.1041,-0.7027
1360,2,10.6,8.1813,-0.7557
1361,4,13,10.0615,0.9207
1362,4,14.1,9.4712,0.0745
1363,4,9.5,8.1696,-1.7376
1364,2,10.8,8.6011,0.6701
1365,3,12.3,8.6447,-0.092
1366,2,10.9,9.2756,0.2623
1367,4,11.5,8.4812,-0.2353
1368,4,11.9,9.5794,0.4858
1369,1,12.1,9.2161,-0.3948
1370,4,13.5,9.0207,-0.1602
1371,2,12.8,8.7185,-0.4526
1372,2,12.7,9.0173,-0.315
1373,1,11.4,8.7855,0.115
1374,3,11.5,8.6521,-0.8557
1375,4,11.9,8.5175,0.7729
1376,4,11.5,8.7079,-0.1722
1377,2,12.5,10.1222,0.2977
1378,2,12.2,9.4584,0.402
1379,4,10.7,9.3035,-0.7995
1380,4,13.1,9.2421,-0.2816
1381,4,10.8,7.9169,-0.1702
1382,4,13.3,9.9455,-0.2915
1383,1,11.5,8.222,-1.3301
1384,4,12.2,8.6944,-1.0726
1385,2,11.8,8.8054,-1.304
1386,4,10.9,8.9043,-0.5451
1387,2,10.5,7.9995,-2.1507
1388,4,14.5,9.8107,1.1996
1389,1,12.3,8.8378,-0.8344
1390,3,10.7,8.9721,-0.6555
1391,4,11.5,9.5189,-0.2329
1392,4,12.8,9.4893,0.1501
1393,3,12.2,7.9808,-1.6595
1394,1,10.4,8.3654,-0.9795
1395,2,11.6,8.4344,-0.7263
1396,1,8.5,8.0012,-0.7683
1397,3,12.6,9.6721,0.0943
1398,1,10.7,9.5847,0.4454
1399,2,10.6,7.4386,-2.3326
1400,4,13.3,9.0892,0.303
1401,1,11.5,9.2422,0.7077
1402,1,9.4,7.4769,-1.1788
1403,1,12,8.8034,-0.046
1404,2,11.4,7.9413,-1.1568
1405,1,10.6,8.4512,-1.4732
1406,3,10.7,9.4933,0.4833
1407,3,13.9,8.6472,0.0798
1408,1,12.8,10.0924,2.141
1409,2,11.9,8.7,0.117
1410,2,12,9.0662,-0.1027
1411,3,12.7,8.6227,0.5487
1412,4,10.8,8.6352,0.3741
1413,3,11.5,9.433,0.4463
1414,2,11.4,9.4905,0.7961
1415,4,15,9.773,1.3304
1416,1,11.1,8.296,-1.5283
1417,4,12.6,9.1567,-0.3429
1418,4,12.8,8.7188,-0.0239
1419,4,11.4,8.9597,-0.6367
1420,2,13.1,9.4136,0.8231
1421,2,11.3,7.9044,-1.6937
1422,2,10.2,7.0757,-3.4407
1423,2,10.8,8.808,-0.0027
1424,4,12.1,9.1567,0.8567
1425,3,13.6,8.9998,1.1059
1426,3,13.5,7.8485,-0.4962
1427,2,15.6,9.9701,1.8342
1428,3,12,9.9631,-0.0432
1429,1,11.9,8.2684,-0.1483
1430,3,11.3,8.5516,-0.0782
1431,1,10.2,8.8458,0.3093
1432,2,10.2,7.55,-1.4161
1433,4,12.3,9.634,1.5146
1434,3,11.5,7.9099,-0.4033
1435,3,11.5,8.8333,0.1357
1436,4,13.4,9.511,1.6398
1437,4,12.2,9.1855,0.6985
1438,2,12.9,9.6144,0.5496
1439,2,11.9,8.6636,-0.1819
1440,3,13.3,8.9623,0.4554
1441,4,15,8.7988,0.1024
1442,4,11.9,8.5416,0.7343
1443,2,10.6,8.7425,0.0335
1444,3,15.4,10.2151,2.2588
1445,2,12.1,9.2684,0.1349
1446,4,13.4,9.7606,1.8091
1447,2,11.2,10.0751,1.1516
1448,4,11.9,8.2157,-0.6667
1449,2,11.4,8.6963,-0.4824
1450,4,12,9.527,0.9281
1451,3,10.9,10.0048,-0.2331
1452,4,11.7,9.1207,0.9631
1453,1,11.5,8.9894,-0.479
1454,4,14.2,9.2849,0.505
1455,4,12,8.8043,-0.0867
1456,2,9.6,9.044,-0.4082
1457,4,12.8,8.9206,-0.9771
1458,4,11.7,8.9135,0.3169
1459,1,10.8,7.6812,-1.6574
1460,3,14.2,10.3639,1.6712
1461,3,13.3,8.7874,-0.7805
1462,4,15.2,9.5915,1.3727
1463,3,12.4,8.3727,-1.0986
1464,4,12.8,8.9916,-0.1384
1465,4,14.1,8.8966,-0.2092
1466,2,14.6,9.0493,-0.6004
1467,4,13.6,10.3904,2.7125
1468,2,12,8.5976,-0.7166
1469,4,14.1,9.684,1.4308
1470,1,9.7,7.5872,-1.8139
1471,2,12.1,9.1203,-0.2917
1472,1,11.1,9.5767,0.3389
1473,1,10,8.488,0.0834
1474,1,10.9,9.509,0.9017
1475,1,10.7,8.2346,-0.8406
1476,4,11.1,9.1154,-0.3319
1477,1,12.4,10.4935,1.5767
1478,2,11.6,9.0192,1.0259
1479,3,14.3,9.4506,0.7228
1480,2,11.1,8.6781,-0.4361
1481,4,12.9,9.5861,-0.0374
1482,2,12,8.1582,-1.0446
1483,1,12.4,8.5229,0.5202
1484,1,12.8,9.6211,0.6065
1485,3,12.1,8.7042,-1.2538
1486,1,12.5,8.7072,0.1556
1487,4,11.7,8.5762,0.6593
1488,4,12.8,9.6688,0.0251
1489,4,12.2,8.7363,-0.7193
1490,2,12.6,9.3476,0.6889
1491,1,13.1,9.2016,1.3682
1492,4,13.2,9.3319,0.067
1493,2,10,8.3593,-0.9588
1494,4,14,8.8298,-0.5728
1495,4,12.6,9.1071,0.5337
1496,3,11.5,8.4279,-0.5761
1497,2,9.4,6.9784,-1.5266
1498,4,12.6,8.7536,0.1087
1499,2,12.7,8.8152,0.0402
1500,4,15.4,9.1125,1.0932
1501,2,11.8,9.4748,0.5505
1502,3,13.8,9.1396,0.3083
1503,3,13.9,10.2358,1.7557
1504,1,12.6,9.1004,-0.325
1505,4,9.2,7.239,-1.5023
1506,3,12.7,8.6245,0.2238
1507,2,11.2,8.2373,-1.1319
1508,3,11.8,8.1081,-0.9007
1509,1,11.5,10.0737,1.253
1510,4,12.1,8.6465,-0.1738
1511,4,14,10.215,0.7038
1512,2,10.1,8.026,-1.1245
1513,1,11.7,9.7471,0.9355
1514,4,13.5,9.6835,0.4334
