clave_municipio,pct_pobreza,pct_carencia_educativa,pct_carencia_salud,ingreso_promedio_mxn,pct_poblacion_rural,pct_acceso_internet,densidad_pob_km2,tasa_alfabetizacion,grado_marginacion_idx
MUN347,80.58,54.85,67.77,4018,81.73,10.34,45.2,73.23,1.49
MUN348,75.25,65.26,69.09,1500,92.93,23.68,62.13,68.92,1.55
MUN349,43.93,19.34,34.9,7903,28.87,52.22,569.74,78.52,0.73
MUN350,64.15,49.98,58.07,4103,68.79,32.56,88.23,77.4,1.41
MUN351,23.38,10.61,7.44,14492,4.99,82.18,937.8,94.28,0.34
MUN352,44.13,31.08,24.62,9377,43.96,58.43,529.41,90.93,0.89
MUN353,74.32,62.5,68.97,2815,93.31,18.37,17.42,68.33,1.53
MUN354,79.48,63.79,73.03,1500,83.08,20.07,45.28,69,1.61
MUN355,83.51,64.9,56.88,4523,92.68,11.77,54.11,72.78,1.72
MUN356,20.14,12.08,19.72,13153,6.58,79.67,1289.63,95.33,0.4
MUN357,37.53,32.53,38.05,7956,36.45,43.31,502.49,90.83,0.84
MUN358,16.32,17.63,10.83,13813,14.87,74.22,649.85,100,0.38
MUN359,22.33,11.93,18.04,13552,17.49,83.89,1100.9,97.19,0.35
MUN360,83.35,66.87,72.36,3815,90.4,10.25,40.16,76.85,1.59
MUN361,81.53,61,59.07,4419,85.22,14.31,33.4,63.1,1.6
MUN362,83.78,64.31,65.86,1500,88.02,20.82,50.36,69.25,1.58
MUN363,42.56,28.87,29.77,11111,38.18,45.52,244.98,90.4,0.78
MUN364,70,60.2,70.16,2780,88.58,2.22,19.56,62.87,1.51
MUN365,41.16,27.22,37.44,5078,39.28,44.32,388.65,78.3,0.7
MUN366,71.53,43.8,51.64,5750,59.19,33.45,59.75,77.8,1.32
MUN367,56.21,48.79,54.61,5483,72.38,28,121.42,78.75,1.12
MUN368,74.09,60.94,67.15,3179,82.65,15.47,34.38,79.05,1.51
MUN369,80.11,63.2,75.58,4755,80.67,6.25,43.77,68.98,1.6
MUN370,80.51,63.29,69.04,2608,85.45,1,38.69,67.12,1.59
MUN371,22.22,2.55,23.22,15319,19.92,81.41,1061.71,95.61,0.36
MUN372,29.75,18.89,17.87,14162,15.62,75.89,1235.4,91.66,0.53
MUN373,26.24,12.44,8.34,12869,23.16,85.7,1358.91,100,0.48
MUN374,84.47,66.07,70.12,1500,90.99,14.52,39.36,70.96,1.73
MUN375,22.19,10.74,22.97,NA,9.72,72.85,1310.79,98.76,0.43
MUN376,79.87,53.29,59.73,2848,83.87,18.11,46.39,74.71,1.43
MUN377,23.06,13.9,22.23,15729,2.84,71.07,1685.95,92.77,0.4
MUN378,47.45,36.7,38.96,9600,41.29,48.77,450.2,94.23,0.9
MUN379,60.58,37.68,44.48,5346,81.09,20.26,40.52,84.27,1.06
MUN380,41.7,41.47,21.6,5290,43.09,54.78,316.41,94.67,0.97
MUN381,27.57,2.35,12.22,8874,10.49,69.15,1,90.79,0.37
MUN382,76.35,58.77,65.41,2687,87.92,12.04,12.84,68.5,1.46
MUN383,44.68,21.79,29.89,7565,37.1,50.08,378.36,86.7,0.8
MUN384,17.76,7.5,7.51,14531,22,74.23,612.85,98.85,0.4
MUN385,55.05,40.12,56.2,3069,77.29,33.13,59.14,79.12,1.04
MUN386,69.65,43.41,46.54,3382,64.2,40.48,65.21,83.73,1.32
MUN387,44.38,27.47,29.16,7305,33.99,36.72,383.33,92.93,0.78
MUN388,22.65,8.01,11.62,16650,14.73,93.14,1031.17,98.64,0.32
MUN389,45.18,27.58,30.18,6569,39.63,57.1,244.39,84.42,0.78
MUN390,42.59,36.47,37.72,8613,41.83,56.85,257.63,85.16,1
MUN391,61.96,40.02,45.7,6023,76.15,32.48,118.34,88.72,1.16
MUN392,22.79,12.88,17.18,15531,17.48,72.04,868.82,96.33,0.33
MUN393,55.35,52.43,48.46,5657,75,32,97.14,83.58,1.15
MUN394,43.15,27.86,30.55,7169,28.1,50.78,178.07,94.92,0.76
MUN395,40.01,23.8,35.84,9113,21.16,48.93,358.51,89.64,0.81
MUN396,51.27,52.7,57.6,2619,79.12,30.99,138.5,78.98,1.19
MUN397,43.73,31.79,36.67,8774,25.9,51.99,197.64,90.32,0.75
MUN398,42.24,22.23,32.46,7721,40.88,39.87,16.73,87.87,0.76
MUN399,15.19,11.78,23.4,13826,14.69,79.29,1156.78,93.01,0.24
MUN400,64.42,49.64,42.4,3208,89.48,28.33,117.56,88.41,1.24
MUN401,22.11,10.3,13.3,13240,11.58,86.6,723.7,94.71,0.33
MUN402,70.97,66.5,53.06,1500,84.28,8.51,27.45,66.5,1.49
MUN403,61.21,44.1,62.43,3968,50.02,36.46,109.57,76.44,1.12
MUN404,75.75,63.55,79.66,3375,97.94,12.9,57.31,74.46,1.54
MUN405,15.16,13.97,17.18,14694,15.46,84.35,708.67,94.83,0.29
MUN406,59.22,44.44,51.75,3878,67.49,25.74,86.47,82.82,1.12
MUN407,48.16,27.41,27.69,6914,41.24,47.49,270.03,89.51,0.91
MUN408,91.7,62.29,74.64,2195,83.78,14.51,6.43,62.82,1.7
MUN409,52.85,43.53,54.48,5560,67.94,29.89,84.97,87.6,1.06
MUN410,60.55,49.87,49.47,5808,61.92,32.99,38.96,77.19,1.19
MUN411,43.08,22.89,19.69,6486,32.53,63.72,263.65,86.39,0.71
MUN412,78.71,59.35,67.53,3361,85.28,9.66,42.28,76.05,1.55
MUN413,15.27,14.78,19.22,14712,4.03,74.2,1170.84,92.89,0.36
MUN414,58.99,41.86,43.53,7578,74.65,18.91,34.13,76.9,0.98
MUN415,32.65,8.66,24.1,17531,11.58,69.45,488.69,97.43,0.52
MUN416,46.24,31.05,21.46,10056,41.17,51.71,585.58,93.89,0.89
MUN417,54.53,46.65,35.47,4418,52.57,39.02,124.84,83.28,1.05
MUN418,58.5,52.68,48.54,3854,72.59,41.46,61.89,82.12,1.22
MUN419,25.92,15.09,16.04,14593,8.73,83.95,1493.78,100,0.45
MUN420,14.35,8.01,28.91,NA,0,91.28,1913.24,96.1,0.23
MUN421,43.32,28.94,23.61,9121,26.94,56.83,531.61,87.74,0.84
MUN422,22.5,1.69,19.1,13730,18.47,89.98,2089.7,97.04,0.41
MUN423,83.44,58.63,61.1,1907,91.72,15.94,51.15,67.55,1.64
MUN424,24.71,17.45,33.88,15163,3.27,85.47,1,100,0.48
MUN425,40.65,21.26,36.38,9242,35.33,44.37,150.91,94.94,0.7
MUN426,50.5,35.55,56.45,2133,50.45,20.65,83.11,80.4,1.03
MUN427,56.42,48.96,63.06,3617,79.25,19.41,52.63,89.04,1.17
MUN428,10.55,18.98,29.1,17487,11.47,75.76,1905.71,93.02,0.33
MUN429,29.28,10.4,15.24,13026,17.66,75,651.08,100,0.48
MUN430,47.18,51.55,52.26,3469,64.7,37.01,110.2,78.93,1.14
MUN431,53.01,41.74,41.82,6064,71.21,22.1,89.93,85.17,1.09
MUN432,38.59,31.36,36.3,5999,41.47,55.38,356.04,89.43,0.8
MUN433,24.41,11.75,14.34,12496,11.86,76.33,2504.16,97.87,0.5
MUN434,46.07,23.83,34.33,12706,27.71,43.49,344.88,88.92,0.75
MUN435,53.87,47.58,54.29,8378,48.62,33.95,103.12,81.06,1.1
MUN436,49.9,31.61,37.2,6515,18.72,52.67,274.47,93.88,0.88
MUN437,24.37,12.39,18.78,NA,9.55,75.04,1197.29,100,0.43
MUN438,46.12,38.39,28.85,5248,34.72,49.55,296.34,85.76,0.86
MUN439,53.38,43.44,45.44,4055,64.41,43.77,90.84,86.13,1.1
MUN440,77.3,61.17,61.14,5709,81.62,20.4,52.93,70.02,1.44
MUN441,56.04,43.33,51.25,4208,61.57,26.27,103.66,80.34,1.15
MUN442,28.73,13.11,7.62,15772,26.67,73.47,1754.85,97.8,0.5
MUN443,42.96,27.45,28.19,10678,28.94,47.31,447.72,91.81,0.8
MUN444,22.09,11.5,5.54,15128,0.27,76.55,1082.38,96.46,0.33
MUN445,53.16,47.61,44.16,4950,53.29,23.99,125.54,79.97,1.11
MUN446,25.85,7.73,15.18,16912,26.85,75.83,707.1,100,0.37
MUN447,72.96,58.45,71.44,1536,100,5.23,36.48,80.07,1.46
MUN448,18.09,27.33,23.86,14430,5.02,70.08,1184.87,96.35,0.55
MUN449,13.12,7.92,10.14,14463,19.73,67.6,2331.15,98.91,0.26
MUN450,79.88,57.57,68.33,3077,100,12.62,48.64,72.43,1.47
MUN451,14.15,4.97,9.44,15620,20.3,93.32,804.08,100,0.24
MUN452,16.54,17.73,12.52,13777,5.52,86.78,1628.53,100,0.38
MUN453,61.03,39.71,55.91,5166,74.42,23.94,112.6,83.22,1.12
MUN454,83.9,61.44,70.93,1500,92.34,18.28,37.2,69.11,1.59
MUN455,25.03,13.43,11.78,15378,14.57,90.68,1356.93,98.6,0.41
MUN456,61.26,50.25,53.16,5210,58.68,41.21,100.95,92.51,1.16
MUN457,45.19,20.46,27.07,8410,48.73,55.29,467.2,93,0.71
MUN458,26.28,9.52,18.29,14583,0,67.54,1148.65,93.8,0.39
MUN459,75.67,64.41,70.09,4331,85.47,5.95,49.02,70.54,1.53
MUN460,17.07,13.82,11.51,14754,13.7,73.76,1407.8,96.08,0.4
MUN461,20.08,9.41,17.3,14977,10.55,74.82,421.64,95.48,0.27
MUN462,84.57,59.56,63.92,3449,84.81,22.98,33.16,62.45,1.64
MUN463,53.37,46.71,49.33,6509,69.72,27.75,142.67,80.9,1.09
MUN464,31.99,22.18,37.29,10264,37.87,57.52,261.76,90.39,0.59
MUN465,28.64,17.09,17.1,16552,0,76.55,1219.39,100,0.45
MUN466,15.17,16.29,9.81,17032,1.21,70.15,1652.64,90.95,0.38
MUN467,31.74,11.93,12.87,14367,18.41,80.53,1231.21,98.8,0.4
MUN468,55.56,39.75,50.2,3169,71.73,32.65,38.98,80.52,1.12
MUN469,42.8,33.87,39.8,NA,31.43,58.24,67.47,92.3,0.87
MUN470,72.96,47.69,41.95,6526,63.38,28.41,101.19,77.41,1.39
MUN471,49.61,26.36,38.85,10921,39.13,47.25,1,92.36,0.83
MUN472,45.95,27.76,33.14,7878,45.54,44.17,672.8,88.9,0.84
MUN473,43.7,30.59,26.96,7763,47.7,66.97,109.31,95.74,0.78
MUN474,23.75,16.76,15.77,16507,17.99,67.17,1305.9,91.47,0.44
MUN475,79.48,57.75,74.57,3813,84.18,8.67,8.1,67.35,1.54
MUN476,22.49,14.85,16.38,13375,5.68,83.3,1149.7,93.3,0.44
MUN477,21.5,6.95,8.07,15444,7.58,65.1,1456.07,100,0.28
MUN478,17.4,23.9,21.11,14697,3.84,84.63,1257.37,100,0.5
MUN479,43.54,32.07,31.41,8483,27.14,62.49,582.35,89.53,0.8
MUN480,14.27,9.37,16.53,11591,6.55,75.68,1590.24,96.74,0.26
MUN481,78.73,60.14,65.14,1500,90.76,14.28,40.31,69.81,1.48
MUN482,54.82,50.44,49.39,6714,69.13,32.73,56,78.29,1.12
MUN483,81.43,59.82,66.82,3067,93.79,16.31,23.76,71.87,1.49
MUN484,37.43,28.64,46.5,10252,44.28,52.56,409.37,89.27,0.71
MUN485,13.91,21.87,15.58,13074,10.69,76.9,923.35,100,0.46
MUN486,55.33,21.82,33.8,10301,45.7,49.08,647.01,90.01,0.83
MUN487,79.99,56.89,56.95,2508,92.03,18.11,32.91,70.52,1.56
MUN488,43.74,29.61,21.27,9833,32.06,57.74,186.51,86.69,0.8
MUN489,60.38,48.18,50.36,5915,71.4,31.99,119.76,80.51,1.25
MUN490,70.49,58.66,66.13,4249,69.97,17.51,22.18,66.46,1.44
MUN491,67.31,43.69,48.29,4886,61.25,36.67,59.86,86.85,1.33
MUN492,40.49,26.8,46.99,7279,26.11,40.87,517.84,87.44,0.73
MUN493,40.28,23.45,34.79,6649,40.13,51.32,299.84,92.47,0.7
MUN494,28.36,37.11,32.59,7174,32.16,57.12,230.54,86.29,0.69
MUN495,34.21,25.26,28.09,9888,40.12,47.96,273.58,92.34,0.73
MUN496,36.34,25.42,29.36,6235,43.59,59.58,357.03,93.14,0.67
MUN497,48.85,26.44,21.01,6964,48.22,54.24,444.6,94.8,0.95
MUN498,50.01,35.65,31.94,8404,30.53,56.8,274.95,92.22,1.05
MUN499,11.46,2.74,13.14,15536,16.85,78.34,761.5,100,0.14
MUN500,44.68,25.96,34.59,8803,35.84,47.34,192.14,95.06,0.81
