ph,dureza_mg_l,solidos_disueltos_ppm,cloraminas_ppm,sulfatos_mg_l,conductividad_us_cm,carbono_organico_ppm,trihalometanos_ug_l,turbidez_ntu,potable
NA,192.5,35540,9.37,288.3,641.6,13.18,74.5,3.62,no
6.44,226,19811,5.93,371,383.8,18,69,3.51,si
5.34,204.9,16373,7.6,284.4,265.1,13.79,46.1,5.1,no
6.25,238.8,21542,6.98,380.2,426.8,20.28,75.2,3.31,si
8.36,195.3,22044,5.37,275.8,452.2,11.75,57.6,4.42,no
8.93,152.7,14371,4.97,300.7,251.9,16.04,68.4,4.59,no
9.18,187.7,25978,6.61,367.5,505.1,9.79,76.6,3.27,no
5.19,165.9,14213,6.89,348.2,262.9,17.24,78.5,4.24,no
6.33,193.8,9941,8.82,365.3,174.5,17.97,59.7,4.85,si
6.88,216.2,10704,7.66,277.8,197.5,8.39,66.4,4.6,si
6.99,206.3,21097,7.39,352.6,398.7,18.51,53.2,2.5,si
6.79,219.1,6694,8.63,273.6,125.8,15.5,73.7,3.27,si
5.95,175.7,29490,6.91,362.9,557.7,13.72,42.1,4.07,si
8.16,169.9,18351,7.47,313.8,340.5,12.45,70,3.98,si
5.15,157.9,36915,6.1,292.4,766.8,12.02,75.4,4.85,no
NA,145.6,22657,8.54,389.4,421.5,17.69,59.9,3.66,no
7.08,196,13855,5.66,364,263.1,13.91,57.1,3.73,si
4.41,188.7,20822,7.5,334.2,427.8,15.66,53.3,4.04,no
8.59,216.7,28629,7.02,335.5,550.6,19.56,60.8,5.16,si
7.79,226.1,16685,6.75,304.5,307.9,16.27,74.2,3.11,no
7.36,199,21360,3.36,NA,410.5,9.58,80.6,3.46,si
NA,181.1,17541,8.36,352.6,356.1,13.33,64.6,4.09,si
6.92,181.3,21050,11.31,310.5,413.9,17.59,56.5,3.3,si
8.72,217.6,9716,7.28,291.6,179.8,14.93,42.1,3.42,si
8.47,202.7,26731,7.93,335.2,483.2,18.46,64.8,4.64,no
7.36,191.6,20432,6.38,324.7,337.5,15.78,54.2,4.77,si
8.25,195.3,10750,7.22,329.6,192,8.06,69,4.12,no
4.34,244.1,31266,8.27,319.1,573.3,14.05,59.3,3.96,no
7.84,196,23916,7.07,288.4,480,14.93,34,4.1,si
7.16,181.3,6353,7.65,383.9,107.3,11.62,62.1,4.24,si
6.37,188.5,15835,5.55,372.4,283.6,11.14,74.8,3.5,no
7.1,215.4,36282,5.22,370.6,691.6,14.6,69.6,5.14,no
6.93,214.8,34780,5.16,246.5,655.5,14.05,64.4,2.78,si
6.35,175,33213,5.97,255.9,673.1,8.18,72.2,3.7,si
7.77,280.2,31715,5.4,303.2,540.9,12.69,54,3.84,si
6.6,143.8,18599,9.61,415,342.4,11.17,66.9,4.89,no
10.57,254.1,25520,5.76,338.8,420.1,18.29,68.7,2.68,no
6.73,237.1,21598,7.73,293.6,408.4,12.58,83.4,3.65,si
5.7,264.3,19025,5.13,351.4,381.9,11.08,80.2,2.27,no
6.41,214.5,10016,9.3,351.1,194.5,11.02,85.2,3.97,no
7.77,180.4,14356,8.61,376,308.1,12.56,51.5,5.57,no
8.82,174.1,11140,7.41,325.9,250.6,13.76,60,4.07,no
6.82,165.4,28483,8.39,316.4,584,15.52,52.4,4.58,si
8.25,217,21590,7.81,394.5,424.3,11.43,61.3,4.19,si
7.62,197.7,30528,8.08,299.4,650.1,9.68,79.5,3.63,si
9.06,229.6,13719,8.46,NA,205.5,15.87,55.8,4.3,si
6.76,266.5,26408,7.94,NA,499.5,10.29,108.3,4.57,no
7.79,176,28634,7.13,387,513.4,19.89,48.9,4.97,no
8.92,234.8,13452,7.29,325.2,264.5,19.91,78.5,4.58,si
8.58,199.7,27937,6.04,NA,498.1,21.02,116.6,5.69,no
9.07,166.8,21206,7.79,360.5,378.3,14.72,47.9,3.05,no
8.92,152.8,17791,5.94,374.5,369.4,10.04,67.6,4.41,no
10.41,178.6,20423,7.53,302.9,386.3,12.42,40.6,3.73,no
4.67,194.1,17158,4.05,347.4,346.7,12.03,108.1,4.82,no
7.77,192.5,18343,8.86,346.8,389.5,12.38,48.5,4.51,si
5.23,175.3,20253,8.07,399.1,391.5,15.62,76.7,3.15,no
8.13,184.4,14049,5.87,361.8,243,16.41,72.8,4.21,no
9.3,219.5,23181,4.64,296.6,429.6,11.11,50,3.85,no
7.76,224.2,21251,8.22,221.1,383.8,14.76,46.1,5.05,no
7.01,225.3,30368,4.13,367.8,544.3,14.26,71.2,4.84,si
6.91,142.6,27408,7.88,342,466,14.12,55.9,4.25,si
5.56,179.4,15772,8.86,348.9,311,13.25,65.6,4.07,si
5.48,220.5,15304,7.92,297.2,304,19.38,72.7,3.08,si
6.9,201.6,17458,7.84,328.2,335.1,12.69,76.7,4.94,no
7.57,177.5,15133,8.05,254.6,284.4,15.85,61.2,4.88,si
7.07,195.4,20980,9.46,251.1,374.6,17.75,89.5,3.45,no
7.86,182.6,23986,8.18,347.7,405,14.47,55.7,2.92,si
NA,179.9,21158,9.13,452.5,379.5,14.46,86.5,3.64,no
6.56,180.8,36980,9.73,311.3,684.1,20.31,55.6,3.21,si
6.04,187.2,30808,7.88,288.2,573,12.34,55.9,3.07,si
6.84,175.5,11286,6.82,316.3,231.3,11.8,35.5,2.78,no
6.27,225.5,23311,5.94,374.4,434.1,19.31,72.3,4.85,si
5.56,163.5,28901,8.02,380.1,572.1,14.8,65,4.63,no
4.66,250.8,28276,6.02,261.5,539.7,15.7,75.2,4.34,no
NA,200.9,14901,7.3,313.4,302.9,17.9,60.4,4.07,si
4.51,230.2,30221,7.04,NA,527.9,8.34,43.1,4.28,no
6.04,217.3,30654,5.14,346.2,585.4,9,64.4,4.8,si
8.72,145.7,21893,8.08,329.2,448.1,20.91,88.2,4.04,no
9.11,232.1,16354,7.99,390,341.7,16.73,53.9,3.08,no
8.39,161.2,36317,7.67,362.6,725.8,11.18,79.1,4.35,no
4.83,208,22881,5.71,415.9,460.5,11.15,37,4.07,no
4.14,222.3,13874,6.2,NA,299.6,13.47,41,4.27,no
NA,198,23874,8.15,NA,476.8,6.31,57.4,2.22,no
5.46,162,17799,5.04,353.6,345.2,13.7,72.3,3.51,no
6.58,216.1,12107,5.86,379.1,254.9,12.63,61.4,3.82,si
4.59,223.7,15622,5.46,270.6,289.5,8.98,69.4,3.74,no
7.36,119.1,10357,8.15,304.9,186.4,13.68,77.7,3.84,si
4.98,209.3,26305,4.96,288.5,483.8,14.37,80.4,2.97,no
7.89,163,11704,8.13,366.8,222.4,12.64,50.2,4.09,si
6.58,150.2,27798,7.51,341.2,544.1,17.25,80.6,3.31,no
7.37,185.7,20045,6.06,287.6,382.4,18.39,66.8,3.83,si
7.36,110.2,8741,3.71,358,155,19.47,63.3,3.81,si
8.03,177.8,20242,5.79,343.8,399.4,17.23,53.5,3.11,no
5.32,121.4,33689,7,387.8,632.2,14.67,73,3.43,no
6.97,144.1,30893,6.79,351.1,576.9,17.2,74.2,3.15,no
7.87,256.6,21342,6.67,357.9,414.5,10.13,50.9,3.76,si
5.46,157.9,26421,5.5,401.4,473.4,14.45,47.2,4.26,no
7.66,201.8,37930,5.35,313.3,677.9,12.99,57.8,4.76,si
6.13,239.8,18258,4.67,323.4,361.8,15.55,54.3,2.75,si
4.72,179.2,34564,5.72,355.9,654.9,9.96,33.8,5.39,no
9.64,214.8,9917,7.39,362.8,212,13.52,51.1,3.86,no
7.72,193.1,17189,7.57,355.1,314.7,12.7,68.7,4.32,si
5.81,209.6,33874,6.47,304.2,638.6,13.4,83.1,4.75,no
6.73,212,17813,5.97,406.5,373.3,8.39,92.2,3.4,no
5.86,199,32825,9.04,363.3,620.9,16.83,98.1,4.33,no
8.64,182.9,31987,8.34,283.1,645,12.95,71.9,2.31,no
6.84,149.6,11536,3.76,293.6,199.4,16.36,65,3.43,si
6.81,162.8,23676,5.7,306,430.8,16.75,71.8,4.39,si
7.84,183,28299,7.27,346.8,497,8.56,60.7,4.49,si
6.78,200,27802,8.51,355.1,546.1,12.31,59.7,4.07,si
6.89,214.8,27622,7.83,351.2,505.7,23.33,46.6,5.65,no
4.34,194,12795,7.74,435.6,262.5,11.91,47.3,3.59,no
7.05,216,29720,4.81,369,558.8,15.95,78.8,3.92,si
9.59,221.3,5609,6.44,282.6,75.9,15.82,40.4,4.23,si
8.77,264.2,37628,9.62,292.7,713.3,19.18,85.5,3.86,no
6.95,272.3,23011,7.48,414.9,455.7,13.74,28.5,4.3,no
8.94,173.1,20571,4.84,304.3,376.5,15.7,67.4,2.39,no
8.94,163.8,18693,8.85,307.6,362.5,10.91,67.8,2.27,no
6.94,206.7,27336,3.45,330.1,543.8,11.94,36.6,4.64,si
8.54,197,30940,6.44,331,555.2,15.49,56.3,5,no
6.5,160.5,21679,5.61,298.3,399.2,15.18,96,4.4,no
7.35,187.2,25215,8.43,294.3,503.5,14.98,72.6,3.2,no
7.68,247.8,35815,5.51,374.1,670.9,16.13,67.6,4.95,si
8.84,160,19832,8.04,308.4,354.9,12.86,45.9,4.25,si
8.16,173.4,24285,6.73,399.2,434,13.26,76.1,3.92,si
6.76,234.7,35502,9.68,335.9,645.2,15.98,91.9,4.1,no
5.17,136.7,22831,5.02,310.5,455.7,13.42,105.5,4.35,no
8.22,199.9,23888,5.38,393.1,449.7,19.47,77.5,4.41,no
8.19,216.8,1739,8.64,393.3,53.3,17.32,56.2,3.36,si
5.42,189.8,15278,5.72,300.4,296.1,15.61,69.9,3.27,no
7.25,194.1,32381,7.08,311.5,581,16.64,66.9,4.62,si
8.41,218.8,33734,6.27,316.3,666.7,14.55,58.6,4.98,no
8.01,194.7,19074,7.96,311.4,335.6,10.31,71.1,4.06,no
7.95,243.7,20225,5.65,324.3,361.3,21.24,80.1,3.92,si
8.84,173.7,26757,5.87,356.9,530.3,11.57,64.4,4.25,no
7.9,233.5,18533,5.03,290.8,398.1,9.54,86.8,2.65,no
6.8,212.6,24652,5.99,334.6,539.3,14.06,66.1,4.14,si
6.86,172.5,12888,6.02,396.5,259.9,15.03,79.4,3.76,si
9.22,270.6,26189,10.38,310.7,515.6,13.56,60.1,4.31,no
6.49,224.8,19982,10.35,243.9,392.1,14.81,64.3,2.83,si
5.19,239.8,25105,7.29,392.4,452.7,14.8,45,2.79,no
6.1,198.7,17351,6.36,218.7,314.3,15.49,55,3.53,si
7.96,225.5,-4708,6.44,320.5,-57.5,13.89,69.7,3.41,si
6.59,182.7,12611,5.6,363.4,233.7,14.34,67.5,2.45,no
5.52,132.1,25901,9.05,276.4,479.5,5.61,33.2,4.43,no
7.72,159.8,17329,6.98,354,338.8,15.29,71.4,5.41,no
7.03,248.9,26098,7.49,365,466,17.4,74.2,3.29,si
7.78,162.9,27549,11.08,358.7,589.4,5.07,74,3.97,si
6.63,230,26464,7.78,360.8,505.8,18.39,45.3,3.8,no
6.34,205.2,23564,7.94,350.3,438.4,13.65,57.8,4.28,si
5.7,156.4,15616,6.44,385.6,260.8,13.47,79.9,3.51,no
5.71,193.3,16451,9.35,298.1,307.5,17.05,42.1,3.03,si
6.56,232.6,14617,5.69,363.2,309.5,10.74,69.7,5.02,si
4.89,210.8,8126,6.15,378.5,135.1,14.77,38.2,4.23,no
NA,227.3,23088,5.9,328.1,399.9,13.55,64.6,4.6,no
8.01,193.1,17697,6.64,411.4,323,17.2,73.3,3.6,si
4.98,190.1,2803,8.72,NA,39.2,15.12,80.4,5.89,no
9.63,253.9,26041,8.72,284.9,481.2,15.12,78.3,3.26,no
7.89,142.9,21458,4.58,370.8,415.9,19.23,60,3.37,no
9.02,185,20714,7.22,NA,380.6,8.86,81,4.99,no
8.14,146,39310,7.11,NA,725.1,12.71,62.2,3.18,si
5.32,220.8,15956,6.05,265.2,327.1,9.15,78.5,3.88,no
5.7,196.4,29352,6.1,334.5,528.9,18.54,56.1,2.95,si
7.41,200,24434,6.38,211.9,444.5,10.22,39.6,3.3,no
6.29,195.4,24854,8.29,327.8,495.5,16.5,81.1,3.14,no
5.88,208.5,18060,6.57,462.3,367.3,14.39,87.2,4.69,no
8.4,152,8789,8.73,387,125.5,13.44,48.3,4.08,no
5.4,256.7,3204,8.11,352.7,-1.9,11.29,85.3,2.82,no
5.62,131.5,17985,7.86,322,355.1,14.61,72,4.04,si
6.97,208.1,37699,7.2,243.5,720.3,16.7,60.1,3.08,si
6.87,183.3,22414,8.6,335.3,452.9,13.56,76.1,3.84,si
6.22,214.2,22548,6.63,320.9,440.2,8.25,54.1,4.71,no
6.22,185.6,6739,5.65,359.4,142.8,11.95,83.4,4.49,no
9.17,224.6,24489,7.21,364.1,466.1,10.78,79.4,2.76,si
7.96,150.3,26621,7.01,308.2,488.1,9.18,82.3,2.23,no
5.92,192.4,18074,9.4,387.1,366.1,13.55,54.1,3.45,si
5.34,212,16728,7.71,NA,307.4,9.32,72.9,2.67,si
6.75,235.3,32314,7.24,349.5,597.5,17.15,63.4,3.56,si
7.43,184.2,33287,6.03,289.4,631.8,17.03,38.4,4.58,no
NA,219.3,23354,7.2,355.4,451.1,4.21,32.8,3.65,si
6.31,144.9,24915,7.47,245.4,460.8,13.73,43.3,4.51,no
NA,197.5,36891,6.32,333.2,715,10.31,67,3.96,no
5.65,168.1,35027,8.31,297,650.8,15.01,51,3.13,no
5.57,182.2,25869,6.89,311.3,490.6,15.22,54.6,3.95,si
7.34,217.9,21674,5.3,343.1,416.5,16.69,52.1,4.44,si
5.76,219.1,23535,8.46,349.1,484.3,9.76,66.3,5.54,no
5.78,203.7,25504,1.28,305.4,476.1,20.51,81.5,4.95,no
6.35,220,25299,7.97,344.7,420.3,13.37,41.1,4.22,si
8.2,221.1,13721,8.19,376.1,251.3,10.98,69.6,3.93,si
7.21,201.2,17386,7.78,367.6,331.9,13.6,58.9,3.08,no
6.54,162.5,23422,6.21,355.3,465.2,17.28,84.1,3.45,no
8.79,200.5,28303,8.97,374.6,559.7,15.16,48.8,4.42,si
8.24,241.4,22566,5.09,344.1,459.2,20.09,73.3,4.44,no
6.22,190,42730,7.85,316.9,810.7,11.1,73.4,3.73,si
NA,225.8,34382,6.9,416.7,647.5,14.19,64.6,4.25,si
6.56,138,19912,8.89,334.1,404.8,18.39,73.3,3.43,si
6.77,157.8,16654,5.91,300.1,305.6,12.93,73.8,3.93,si
8.58,239.5,25227,8.6,361.3,469.2,15.05,74.6,4.19,si
6.92,230.4,19464,9.49,352.3,364.1,13.77,54.6,3.88,si
7.52,181.1,29980,5.85,394.1,570.4,16.7,76.2,4.64,si
7.58,200.7,36197,7.39,373.8,699.6,12.63,68.2,4.04,si
7.19,203.7,13968,9.16,350.3,274,12.67,70.1,4.07,si
7.96,175.6,13809,7.67,307.6,260.8,20.92,88.7,5.43,no
7.69,177.4,29849,6.55,333.9,591.7,16.73,53.3,5.1,no
9.18,163,31784,5.45,288.8,619.5,12.47,69.8,3.61,no
7.16,205.7,3878,7.95,336.2,107.4,8.92,86.3,5.19,no
8.72,219.3,16214,3.72,316.1,332.6,15.42,83.3,2.29,no
6.84,197.6,21820,5.96,331.8,395.9,11.55,72.3,2.65,no
7.27,144.7,24818,9.65,266.7,448.9,10.61,67.8,3.48,si
8.98,213.7,26972,5.72,414.4,527.2,15.92,83.5,3.21,no
8.91,238.3,24383,6.26,288.8,442.9,12.46,92.1,5.7,no
6.43,176.5,43029,7.44,348.3,815.5,11.45,75.7,3.86,si
8.88,149.3,28513,9.26,343.7,545.7,9,55.8,2.34,no
NA,200,3436,9.39,350.9,32.3,16.16,66.8,4.05,si
7.57,155.9,9740,6.3,287.5,168.7,17.27,72.7,5.05,si
8.08,254.6,35368,9.33,283.9,678.1,14.92,56.2,3.18,no
5.44,178.3,14796,6.82,336.1,282.2,14.59,56.1,3.5,si
9.39,174.3,25270,9.15,286.7,485.9,13.59,69.9,4.96,no
7.96,214.5,24404,8.26,325.7,473.4,17.74,69.8,5.14,si
7.9,175.8,29421,8.11,378.8,527.2,9.91,57.3,3.73,no
10.1,217.8,18518,9.29,328.7,340.6,16.38,23.7,3.81,no
11.44,189.6,3442,8.22,344,93.5,6.83,58.5,4.18,no
7.91,208,15873,6.84,275.4,293.9,10.44,79,3.41,no
7.2,213.6,8342,7.25,292.1,168.9,12.13,62.1,3.77,si
8.27,151,20262,7.04,364.6,409.8,15.32,83.1,4.5,no
NA,233.7,24048,5.57,250,450.9,19.72,74.8,4,si
5.95,189,23913,5.87,380.6,460.8,7.39,59.6,4.4,si
4.82,232.6,14331,6.76,420,252.4,11.53,71.5,4.14,no
4.95,219.8,10346,9.67,375.7,218.3,11.87,75.3,4.22,no
9.43,136.5,26647,4.87,324.5,540.6,17.2,59.9,4.54,no
7.39,163.2,4664,4.12,NA,49.6,12.32,58.7,5.4,no
6.26,166.2,19413,7.74,343.2,340.2,15.25,73.2,5.65,no
6.9,165.1,14002,5.58,NA,262.4,14.39,58.8,3.63,si
5.41,198.4,25760,6.92,315.9,484.2,14.46,77.5,4.11,si
7.42,239.8,20222,5.05,357.4,385.8,7.16,84.8,3.08,no
6.05,196.4,23347,10.1,343.3,467.1,15.75,98.2,4.58,no
8.48,227.6,22804,7.49,288.4,457.5,12.63,36.7,3.69,si
9.89,208,19894,7.41,348.4,303.5,13.15,56,3.46,no
5.75,118.8,28971,5.39,NA,548.6,15.47,53.8,4.01,si
5.4,188,16763,6.07,329.3,304.7,14.97,47.1,2.68,no
7.82,223.9,32655,6.71,401.9,642,10.92,79.9,4.11,no
6.68,232.9,29905,10.01,NA,557,6.37,62.1,4.19,si
8.36,252.6,21189,6.48,334.9,424.3,12.41,97.9,2.62,no
5.69,176.4,23221,6.27,395.4,436.4,14.69,54.9,3.99,no
6.93,171.3,20200,10.24,316.9,381.9,5.96,78.8,4.2,si
6.24,212.3,15802,6.42,320.4,295.4,18.12,74.3,3.94,si
6.5,197.5,-279,6.21,366.5,-13,14.12,77.4,5.93,no
5.66,207,17050,7.14,318.3,320.7,11.02,72.3,1.98,no
10.61,197.8,26551,5.96,294.3,537.6,7.86,82.8,4.82,no
9.68,206.1,24547,8.36,362.2,483.8,8.86,90.4,3.64,no
7.95,229.3,13057,6.81,361.9,259.7,10.9,90.2,4.9,no
5.73,204.6,20895,7.62,349.6,369.8,14.29,62.2,2.72,no
6.01,226.2,25173,8.55,357.9,459.5,12.37,71.6,4.7,si
7.31,226.8,11704,9.04,383.6,251.9,13.05,62.5,3.89,si
5.98,224,27187,6.96,287.1,500.1,11.01,61.3,3.4,si
7.95,179.3,25915,11.41,327.1,521.6,13.19,93.3,4.08,si
8.62,156.8,21460,3.62,440.8,407.4,20.91,60,3.79,no
8.67,208.5,15365,10.69,367.5,332.2,19.2,41,5.17,si
5.82,198.9,18404,5.84,379,369.3,18.71,70.7,4.17,no
7.51,209.3,18813,7.21,371.2,376.9,13.02,80.1,4.62,si
7.36,162.2,18138,8.4,327.7,287.5,12.12,40.3,3.51,si
8,212.9,26396,4.47,387.2,474.6,15.26,55.1,3.51,no
8.51,128.9,43802,4.77,347.3,848.1,16.58,67.8,3.63,no
8.32,250.7,20053,5.58,307.9,435.2,13.16,91.4,2.9,si
6.45,197,8422,6.63,297.8,180.2,13.54,79,4.74,si
7.95,161.1,12824,9.52,333,291.1,17.15,78.5,4.26,si
7.07,251.5,32488,6.44,263.9,611.3,15.41,110,4.33,no
7.92,268.8,14988,8.46,325.5,282.6,18.01,86.5,5.4,no
5.68,166.7,18066,5.43,305.6,315.5,21.68,66.7,4.71,no
7.04,180.3,30315,10.68,309.6,573,8.67,60,3.89,si
6.3,147.6,30416,6.83,319,613.6,19.63,78.2,4.35,no
4.46,168.7,15561,7.96,297.3,292.4,17.12,73.8,3.97,no
7,190.4,31865,9.4,346.2,606,13.41,46.1,3.36,si
6.78,189.8,31814,8.69,379.4,620.3,16.83,37.9,3.4,si
6.86,216.4,39638,4.38,NA,722.8,21.24,58.4,2.78,si
6.26,194.8,42594,5.13,357.3,812.3,16.13,61.5,4.71,no
6.33,228.5,24487,5.69,353.5,422.5,12.18,58.8,4.79,no
6.27,222.2,18150,7.91,334.8,320.9,16.23,96.5,5.17,no
7.86,210.8,15480,8.86,325.2,298.4,11.76,72.9,5.39,no
7.09,231.3,37602,3.83,300.1,684.2,13.48,80.2,5.06,no
6.5,139.3,16951,8.15,313.4,324.5,20.32,68.5,4.18,si
9.04,192.3,20126,8.9,298.6,409.5,13.94,83.9,3.47,no
4.64,159.8,21669,6.95,296.5,416.5,19.29,49.8,4.67,no
4.8,223.4,15794,4.93,304.2,295.1,13.12,40,3.97,no
7.85,198.9,13092,5.31,298,262.6,10.64,76.7,4.86,no
3.02,185.6,13267,9.45,376.2,223.4,14.07,65.5,2.37,no
7.09,113.6,17271,5.15,379.9,322.1,9.2,58.7,4.04,no
7.55,218.2,22709,5.7,281.2,452.4,13.72,85.2,4.05,no
8.31,172.6,6340,7.15,343.4,80.4,13.64,76.1,3.44,si
4.07,213.4,22338,10.14,293.7,468.1,17.85,84.7,4.75,no
6.57,155,25876,7.9,329.6,497.2,10.16,53.6,5.88,no
5.82,170.8,17000,8.13,319.1,278.2,11.19,39.4,3.02,si
6.5,221,17585,8.9,391.9,338.9,12.7,69.8,4.51,si
8.35,202.1,23237,8.55,325.5,446.4,10.64,50.6,4.29,si
4.88,144.4,9764,8.2,326.2,221.2,11.32,116.7,4.1,no
7.24,90,34336,6.16,357.8,678.5,14.85,73.1,3.37,no
5.97,196.6,19559,5.71,284.3,366.9,11.85,68.9,3.45,no
6.83,213.8,18560,6.45,336.6,350.4,15.86,51.2,3.88,si
5.71,183.2,10214,6.47,334.5,197,18,56.8,2.06,no
6.1,148.6,17474,10.55,347.5,340.2,15.82,71.4,4.13,si
4.73,175.8,30385,8.55,270.7,563,15.45,58.1,4.32,no
6.52,228.1,18158,7.72,336.9,339.3,16.77,54.2,5.24,no
6.28,162.2,26006,8.27,240.5,506.8,11.01,64,3.85,si
8.03,194.6,20265,7.14,360.9,357.5,16.5,48,4.17,si
7.75,203.6,1112,5.46,376.6,6,12.14,21.1,4.33,no
8.8,182,36060,8.2,NA,676,12.5,68.1,4.16,si
7.35,179.2,21076,8.25,341.7,454.9,10.79,59.1,3.09,si
4.21,220.2,25390,8.06,384.2,456.1,10.73,78.6,4.56,no
4.74,166.5,20652,6.54,285.2,415.5,13.05,74.3,6.04,no
7.4,165.3,22859,4.84,312.8,410,13.62,82.4,2.77,no
8.01,195.9,31043,4.25,427.5,565.9,18.48,53.8,5.36,no
7.03,164.3,20956,4.22,348.3,429.3,13.25,71.1,3.61,si
6.87,189,29784,4.61,299.9,539.2,11.76,37,2.69,no
8.27,238.6,23676,7.98,420.2,478.3,14.39,57.8,2.2,no
8.02,198.9,-4297,9.64,354.5,-60.7,15.17,59.8,3.65,si
5.72,191.2,38347,6.46,317.7,747.6,13.81,55.1,3.05,no
4.72,224.6,33664,8.27,315.8,612.7,16.06,55,3.31,no
9.08,191.7,32145,3.43,327.5,628.5,15.17,49.7,4.57,si
6.31,188.9,31940,6.13,357.3,544.8,8.71,44.5,4.43,no
6.48,233.2,28102,6.45,277.5,532.2,18.6,77,4.14,si
6.94,200.5,19880,5.89,420.2,406,13.64,84.5,4.29,no
5.91,156,35647,3.34,361.1,679.4,11.2,68.1,3.4,no
5.83,220.7,29816,9.51,303.8,555.7,18.42,68.7,4.14,si
7.02,193.7,13139,10.48,340.2,210.9,16.64,114.7,2.86,no
8.72,230.5,36472,10.31,307.9,681.8,11.12,73.6,4.62,si
7.52,278.9,24196,8.32,276.2,414.5,10.36,33.2,5.3,si
7.66,205,20628,8.11,403.7,420,14.13,59.6,2.67,no
6.24,213.1,30258,6.46,223.3,575.6,14.81,62.8,4.2,si
7.27,164,26429,7.39,371,508,9.91,74.7,5.29,no
4.25,290,33606,6.3,385.1,628.2,13.83,95.5,2.62,no
7.49,213.8,47159,7.52,352.3,918.1,12.57,71.5,3.47,si
7.84,255.4,30020,7.55,353.2,594.5,20.94,87,4.63,no
6.99,210,25672,6.69,NA,540.5,20.04,89,3.13,no
7.31,228.9,17968,9.73,378.1,392.3,15.1,56.3,2.66,si
8.57,169.5,26177,4.32,360.3,510.1,13.85,66.1,2.76,no
5.57,162.6,24795,6.69,318.2,475.5,16.16,71.4,3.42,si
7.39,192.3,44781,4.7,243.2,866.3,14.12,46.3,2.79,no
4.63,218,37590,5.76,309.2,694.3,11.95,85.9,3.12,no
7.4,164.9,3407,8,NA,90.2,15.09,70.6,3.59,si
5.78,180.9,22380,7.61,219.6,409.7,14.74,88.4,3.5,si
7.6,211.4,26989,8.22,406.7,479.3,14.86,78.7,5.19,no
7.45,191.6,16233,6.18,302.5,315.8,9.77,65.7,4.48,si
9.44,164.2,18227,6.97,366.3,353.3,16.26,67.3,4.55,no
8.66,211.6,17143,8.6,396.3,305.2,13.46,41.3,4.95,si
8,175.8,35679,7.93,362.1,625.2,11.61,56.4,3.98,si
6.04,194.6,21657,10.92,368.7,405.2,12.1,90.4,3.38,no
4.93,187.3,23755,9.83,305.4,472.7,12.03,75.6,2.5,no
6.58,224.1,25935,9.55,379,508.6,9.05,77.2,4.61,si
6.53,184.8,29417,4,323.3,552.7,15.68,58.3,4.54,si
NA,196.6,13826,7.61,270.2,306.6,12.69,85.8,3.1,no
6.02,188.3,40730,7.2,337.3,764.3,17.12,84.7,4.07,si
7.19,197.2,16812,5.79,395.2,369.5,15.66,80.3,4.85,no
7.2,243.9,34050,6.75,321.7,680,15.78,23.3,4.19,no
5.11,203.5,26009,4.63,329.3,509.1,13.43,57.4,4.7,no
8.01,194.7,30697,3.95,311.7,579.9,9.77,74.8,3.02,si
5.61,184.5,19362,7.55,282.3,384.3,15.61,85.1,3.54,no
7.2,192.5,26082,6.85,312.9,455.3,14.14,28.9,4.26,si
5.63,164.1,14621,5.87,234.9,305.4,9.22,71.1,3.42,si
5.79,210.2,29186,6.49,330,571.9,13.17,79.8,3.53,si
7.13,169.4,13826,9.34,290.2,247.9,13.59,62.8,4.13,si
6.9,224.1,25076,8.91,310.3,464.8,18.18,86.9,4.25,no
7.61,208.3,14626,6.57,307.8,264.5,13.01,48.1,4.44,si
10.08,201.7,28593,6.6,303.3,554.2,11.72,94.1,3.76,no
6.68,190.6,24882,8.89,409.9,458.9,12.77,67.5,3.71,si
6.78,233.5,18655,6.14,328.1,347.6,15.01,92,3.09,no
6.95,174.1,17165,7.87,362.4,334.5,9.54,84.6,4.11,no
10.07,199.3,20644,6.35,265.8,376.2,10.36,55,4.32,no
5.35,226.7,33957,5.19,325.2,635.7,10.53,75.3,3.91,no
9.54,179.7,15327,6.94,274.9,244,13.14,63.4,3.71,si
7.19,237.2,10505,7,343.8,221.2,13.55,85,4.35,si
6.01,193.7,13537,7.45,368.5,263.3,11.11,67.4,3.34,si
7.97,142.9,9370,8.77,357.1,187.7,12.94,50.6,4.23,si
4.92,195.8,15278,6.91,310.8,292.7,14.23,70.2,3.54,no
8.38,229.6,22292,6.92,383.5,384.6,13.84,64.4,3.46,no
6.95,186,19292,6.35,376.3,371.4,18.46,69.2,5.2,no
5.32,190,10390,6.28,377.2,203,13.53,62.9,3.87,si
7.74,198.9,20016,8.28,333.7,367.8,8.06,58.6,4.35,si
5.7,247,24131,11.2,NA,451.8,14.42,51.7,2.61,no
7.3,309.5,27468,7.84,256.6,548.8,11.15,81.2,5.08,si
9.07,211.7,32976,4.3,333.6,672,11.35,62.6,3.43,no
5.99,156.9,21289,8.2,267.8,432.7,17.7,65.1,3.13,no
8.41,194,28487,4.96,354.4,594.7,13.01,75.1,4,no
9.42,203.4,21072,7.91,315.8,426,12.27,59.3,4.01,no
4.67,155,9131,7.81,371.5,159.5,15.52,49.1,3.86,no
6.52,140.6,288,8.04,NA,-5.8,10.27,88.1,4.09,no
