id_cliente,edad,dias_desde_registro,num_sesiones_mes,num_juegos_distintos,monto_apostado_mensual_mxn,monto_deposito_promedio_mxn,usa_app_movil,bono_reclamado,tasa_retorno_pct,prometedor
CL00495,22,269,3,5,1596,326,si,no,98.6,no
CL00496,61,562,4,2,2670,699,si,no,89.9,no
CL00497,62,85,3,5,1404,392,no,si,87.2,no
CL00498,38,54,6,4,2352,1228,si,no,84.8,no
CL00499,64,401,7,2,671,240,no,si,92.6,no
CL00500,64,307,3,5,187,53,no,no,92.8,no
CL00501,34,492,4,3,2227,727,si,no,89.1,no
CL00502,23,171,5,2,1251,460,si,no,89.9,no
CL00503,22,101,5,4,680,314,no,no,96.1,no
CL00504,63,119,4,3,4020,2222,si,no,90.3,no
CL00505,29,243,6,8,2272,1299,si,no,95,si
CL00506,59,297,3,4,1589,548,si,no,96.3,no
CL00507,68,138,8,2,1096,570,si,si,92.7,no
CL00508,60,54,12,7,274,64,no,no,93.9,no
CL00509,55,234,3,2,10376,3028,si,no,96.6,no
CL00510,26,602,5,5,6182,3546,no,no,94.8,no
CL00511,23,492,5,3,2243,1034,si,si,86.6,si
CL00512,31,372,7,3,607,205,no,si,88,no
CL00513,55,225,3,5,5558,2502,si,no,97.5,no
CL00514,25,267,9,3,2894,880,no,si,95.1,no
CL00515,57,199,1,9,2556,630,si,no,95.1,no
CL00516,37,166,6,5,2903,617,no,si,100.1,no
CL00517,68,108,6,3,2115,584,si,no,96.5,no
CL00518,65,396,10,6,3305,1194,si,no,86.6,no
CL00519,52,76,7,6,4119,1649,si,no,96.3,si
CL00520,20,687,3,8,2724,606,si,no,90.7,no
CL00521,59,132,5,6,1897,613,no,no,88.4,no
CL00522,21,153,8,6,3043,1086,no,no,93.1,no
CL00523,48,107,6,3,4149,1055,si,si,94.2,no
CL00524,49,641,10,4,1375,416,si,si,92,no
CL00525,52,241,13,2,1847,441,no,no,95,no
CL00526,47,455,8,2,427,234,no,si,90.7,no
CL00527,18,493,3,3,2322,1156,si,si,86.2,no
CL00528,38,161,5,5,4220,2014,no,si,91.6,no
CL00529,26,139,4,2,2027,673,si,si,82.7,no
CL00530,63,378,14,2,2189,961,no,no,94.3,no
CL00531,38,39,3,4,1198,502,si,no,95,no
CL00532,66,236,12,4,670,NA,si,no,87.8,no
CL00533,50,257,5,3,2024,1022,si,si,103.2,no
CL00534,55,289,7,3,710,188,si,no,87.1,no
CL00535,58,74,4,1,5405,2617,no,no,86.4,no
CL00536,40,175,5,4,2319,1276,no,no,88.8,si
CL00537,30,243,8,7,273,112,no,no,91.9,no
CL00538,67,461,6,3,4824,2530,no,si,93.5,no
CL00539,50,157,4,5,598,221,si,no,90.4,no
CL00540,63,221,9,5,1489,795,si,no,92.6,no
CL00541,55,327,3,2,1451,695,no,si,96.2,no
CL00542,65,123,5,9,1639,386,no,no,91.4,no
CL00543,66,398,3,4,710,NA,no,no,87.6,no
CL00544,46,579,6,4,365,173,si,si,91.7,no
CL00545,25,133,2,3,2112,1000,si,si,91.3,no
CL00546,50,77,6,3,4226,1361,si,no,93,no
CL00547,31,72,2,6,652,281,no,no,93.4,no
CL00548,40,169,7,2,3057,1078,si,no,95.8,no
CL00549,50,501,6,3,1805,1051,no,si,88.7,no
CL00550,44,351,10,2,870,342,no,no,85,no
CL00551,40,299,5,3,698,260,si,no,90,no
CL00552,39,563,4,3,935,202,si,no,95.4,no
CL00553,30,470,6,5,1327,720,si,no,87.5,no
CL00554,43,437,7,4,938,342,no,si,92.8,no
CL00555,26,30,15,5,651,235,no,si,91,no
CL00556,19,512,8,4,5313,2966,no,si,94.4,si
CL00557,46,219,6,4,1332,267,si,si,95.4,no
CL00558,54,59,10,5,1640,952,si,no,83.3,no
CL00559,41,193,9,8,2480,782,si,si,89.8,no
CL00560,32,285,5,3,358,NA,no,si,98.9,no
CL00561,27,153,7,3,2650,1187,si,si,92.1,no
CL00562,30,152,3,2,1932,627,no,si,90.1,no
CL00563,30,265,6,2,949,397,si,no,93.1,no
CL00564,62,119,5,3,426,222,si,no,95.2,no
CL00565,56,111,10,2,5073,1366,no,no,85.1,no
CL00566,18,388,6,3,5171,1842,si,si,88.4,no
CL00567,37,340,3,3,4896,1469,si,si,89.7,no
CL00568,30,253,6,3,2416,1193,si,no,91.2,no
CL00569,56,125,4,2,1359,815,no,no,89.4,no
CL00570,52,153,5,3,818,333,si,no,93.4,no
CL00571,55,251,7,7,460,176,no,no,91.4,no
CL00572,57,462,3,4,2364,517,si,no,78.6,no
CL00573,23,220,12,3,725,257,no,si,93.8,no
CL00574,33,296,10,7,166,74,si,si,98.7,no
CL00575,33,161,7,5,3761,1573,si,si,90.3,no
CL00576,69,134,1,2,861,228,si,si,87.7,no
CL00577,42,64,7,2,1279,319,no,no,90.1,no
CL00578,53,336,5,4,1154,250,no,no,93.2,no
CL00579,58,188,8,3,9080,3198,si,no,93.2,no
CL00580,25,52,8,2,611,194,no,no,88.3,no
CL00581,57,375,6,6,13664,7982,no,si,89.7,si
CL00582,29,189,2,4,6957,2172,no,si,99,no
CL00583,48,107,2,4,4643,2482,no,no,93.7,no
CL00584,25,109,6,8,860,252,no,no,97.5,no
CL00585,24,406,3,2,9714,2886,si,no,99.9,no
CL00586,69,169,7,6,1058,487,no,si,87.4,si
CL00587,41,100,13,3,4389,1556,no,si,93.1,no
CL00588,41,263,8,1,1224,390,no,no,92,no
CL00589,62,39,5,8,961,333,si,si,96.5,no
CL00590,40,546,9,3,6385,1623,no,si,93.9,no
CL00591,60,210,2,3,835,397,si,no,83.3,no
CL00592,20,414,4,2,21406,8356,no,si,83.6,si
CL00593,23,365,7,3,2303,1214,no,si,91.9,no
CL00594,45,308,3,3,2717,1053,si,no,97.3,no
CL00595,26,156,8,5,5193,2196,no,no,86.2,si
CL00596,68,79,5,7,679,353,si,si,98.7,no
CL00597,29,249,7,6,1530,704,no,no,91.3,no
CL00598,58,69,5,3,602,179,no,no,93.6,no
CL00599,61,177,6,4,500,233,si,si,85.8,no
CL00600,43,98,2,6,4409,2070,no,no,97.7,no
CL00601,29,12,7,4,3219,1030,no,no,90.7,no
CL00602,55,57,5,4,996,597,no,si,94.4,no
CL00603,20,80,8,1,728,333,si,no,95.6,no
CL00604,30,386,6,5,14203,5471,si,si,96.2,no
CL00605,45,127,6,3,1726,960,no,si,97.6,no
CL00606,23,19,5,1,928,NA,no,no,87.3,no
CL00607,35,493,3,7,1087,353,no,si,93.3,no
CL00608,35,165,12,5,585,166,si,si,90.3,no
CL00609,46,285,7,3,2666,1006,si,no,92.4,no
CL00610,50,225,5,6,16701,5859,no,si,93.6,no
CL00611,68,400,5,3,1661,354,no,no,96.5,no
CL00612,58,108,4,6,4078,2208,si,si,98.4,no
CL00613,47,264,4,3,1206,372,si,no,87.1,no
CL00614,57,155,7,1,1838,697,no,no,93.5,no
CL00615,66,395,7,6,2884,1404,si,si,89.5,no
CL00616,65,415,8,2,11764,3096,si,si,94,no
CL00617,43,97,5,3,7102,1474,no,si,98.7,no
CL00618,58,168,5,3,931,545,si,no,94.5,no
CL00619,69,131,2,5,11147,6105,no,si,87.7,si
CL00620,43,309,6,4,756,249,si,no,92.9,no
CL00621,31,128,7,2,1275,634,si,no,80.5,no
CL00622,62,416,10,2,8633,4070,no,no,89.2,no
CL00623,28,273,6,4,860,404,no,no,89.1,no
CL00624,42,401,6,4,2317,1113,si,no,91,no
CL00625,46,325,4,5,292,76,si,no,90.8,no
CL00626,55,212,9,5,1428,328,si,si,88.7,no
CL00627,53,71,4,4,3356,1891,no,no,88.6,no
CL00628,62,254,3,3,2122,NA,si,no,95.4,no
CL00629,67,145,5,4,701,154,no,no,89.2,no
CL00630,28,122,6,2,2963,1324,no,no,89.2,no
CL00631,61,96,6,6,3087,755,si,si,94.4,no
CL00632,64,169,8,2,1045,395,no,si,91.5,no
CL00633,40,313,7,4,478,140,si,no,96.6,no
CL00634,37,346,7,3,2189,1243,si,no,88.4,no
CL00635,19,101,6,5,390,226,si,no,86.9,no
CL00636,26,151,3,4,4809,1810,no,si,91.9,no
CL00637,65,154,6,3,2740,598,si,no,90.4,no
CL00638,28,90,6,4,2593,1547,no,no,89.5,no
CL00639,29,113,7,6,1851,577,no,no,96.8,no
CL00640,40,373,8,4,1545,724,no,no,88.3,no
CL00641,35,196,7,1,622,256,no,no,91.7,no
CL00642,34,50,5,5,1024,400,si,no,87.5,no
CL00643,54,180,6,3,498,193,si,si,84.8,no
CL00644,40,69,6,2,826,215,no,si,93,no
CL00645,44,530,8,6,1336,518,si,si,91.2,no
CL00646,46,256,5,4,2246,1272,no,no,94.8,no
CL00647,22,350,8,5,14150,7856,si,no,92.2,si
CL00648,29,61,6,3,398,133,no,si,95.9,no
CL00649,60,277,5,3,700,363,si,no,93.1,no
CL00650,51,79,8,5,1164,273,si,no,91.2,no
CL00651,60,119,5,3,649,382,si,no,91.6,no
CL00652,25,79,6,5,8225,4624,no,no,90.4,no
CL00653,24,144,4,4,393,124,si,si,94,no
CL00654,22,367,8,6,4204,1661,si,si,98.1,no
CL00655,45,130,4,6,3550,1361,si,no,90.8,no
CL00656,40,247,6,6,1011,474,no,no,89.4,no
CL00657,29,48,9,5,3413,936,no,no,96.5,no
CL00658,30,93,1,5,3244,1276,si,si,93.3,no
CL00659,43,275,7,9,388,139,no,no,93.1,no
CL00660,43,35,5,6,400,94,no,si,96.2,no
CL00661,26,56,5,3,600,307,si,si,94.9,no
CL00662,51,114,9,1,1730,944,no,si,91,no
CL00663,31,30,5,4,608,277,si,si,94.9,no
CL00664,47,37,11,5,5982,2816,si,no,86.6,no
CL00665,63,351,4,4,3439,1287,no,no,91.2,no
CL00666,68,132,4,1,2502,1066,si,si,85.3,no
CL00667,32,183,7,8,295,117,no,si,88.8,no
CL00668,50,397,5,4,666,207,no,no,86.2,no
CL00669,51,363,9,6,702,160,si,si,96.6,no
CL00670,40,45,4,7,740,166,si,si,89.7,no
CL00671,45,181,2,4,834,401,no,no,87.2,no
CL00672,34,140,2,2,543,161,no,si,91.2,no
CL00673,56,253,8,3,5870,1322,no,si,92.4,no
CL00674,19,608,6,4,9086,4225,no,si,100,si
CL00675,27,238,3,4,1152,589,si,no,92.3,no
CL00676,60,279,8,5,3231,1274,no,si,85.9,no
CL00677,53,80,3,2,481,232,no,no,95,no
CL00678,45,364,4,1,44525,12529,si,no,88.1,si
CL00679,35,79,9,2,1361,732,si,si,93.7,no
CL00680,32,187,9,7,653,147,no,no,90.1,no
CL00681,49,166,5,5,7588,2585,no,no,90.2,no
CL00682,56,221,7,1,2411,1201,si,no,88.3,no
CL00683,39,337,5,3,4379,2584,no,si,91.4,no
CL00684,34,341,5,2,454,172,si,si,94.9,no
CL00685,23,237,8,4,5411,1447,no,no,84.9,si
CL00686,41,118,3,3,2046,625,no,si,87.6,no
CL00687,20,521,4,1,920,235,si,no,94.5,no
CL00688,45,53,4,2,3757,1648,si,no,92.7,si
CL00689,20,128,6,6,4020,1155,no,no,100.3,no
CL00690,58,333,5,2,33662,15781,si,no,95.4,si
CL00691,40,129,11,1,222,83,si,si,93.9,no
CL00692,53,253,4,2,2407,1217,no,si,83,no
CL00693,55,423,6,2,934,201,si,no,95.9,no
CL00694,19,197,4,7,12495,7274,si,si,91.3,si
CL00695,50,376,5,4,3227,947,si,si,97,no
CL00696,34,162,4,5,9928,3083,no,no,94.9,no
CL00697,23,302,10,1,849,192,si,no,86.3,no
CL00698,33,339,3,3,1722,356,si,no,87.4,no
CL00699,20,752,2,6,770,329,no,no,89.6,no
CL00700,19,205,4,2,1233,504,no,no,87.5,no
CL00701,42,76,4,3,2527,855,si,si,88,no
CL00702,45,179,7,3,6483,3645,no,no,97.8,no
CL00703,43,79,5,5,1321,271,si,no,91.5,no
CL00704,64,236,5,4,6588,NA,no,no,90.4,no
CL00705,59,292,5,3,953,NA,si,si,88.8,no
CL00706,48,13,3,3,8847,4330,no,no,95.2,no
CL00707,61,315,5,5,1025,462,no,si,94.1,no
CL00708,38,281,7,8,486,281,no,no,92.5,no
CL00709,48,60,4,2,1805,889,si,no,93.5,no
CL00710,52,158,6,10,4117,1047,no,no,87.8,no
CL00711,66,353,5,3,337,109,no,no,87.6,no
CL00712,44,415,2,3,4563,1642,no,no,97.2,no
CL00713,36,313,7,6,778,243,no,no,94.6,no
CL00714,53,259,8,1,3779,NA,no,si,91.7,no
CL00715,47,125,2,3,1171,554,si,no,93.1,no
CL00716,19,92,2,2,2361,494,si,no,91.3,no
CL00717,55,306,8,3,11500,5255,si,si,89.9,no
CL00718,42,381,3,8,4375,2221,no,si,89.3,no
CL00719,67,336,6,5,8497,3822,si,no,90,no
CL00720,63,531,5,3,2076,834,si,no,92.2,no
CL00721,66,22,7,6,1924,1145,si,si,96.4,no
CL00722,48,234,8,5,1203,321,no,no,93.4,si
CL00723,30,237,9,4,1413,519,si,no,99.6,no
CL00724,48,276,6,4,2984,1575,si,si,97.3,no
CL00725,21,183,7,3,2038,912,si,si,84.9,no
CL00726,42,257,1,1,2716,1578,si,si,93.1,no
CL00727,45,88,1,3,213,113,si,no,86.1,no
CL00728,27,332,7,2,3548,1588,no,si,87.2,no
CL00729,37,512,7,2,789,212,si,si,89.6,no
CL00730,23,456,2,5,6991,1564,si,no,91.2,no
CL00731,41,353,11,4,8477,2237,no,no,87.8,no
CL00732,48,232,7,3,3568,1594,no,no,85.6,no
CL00733,65,424,7,5,1716,676,no,no,92.3,no
CL00734,43,75,7,6,4284,1314,si,si,93.6,no
CL00735,51,236,6,4,3054,1193,no,no,93.7,no
CL00736,24,214,3,7,683,200,si,no,91.3,no
CL00737,40,335,4,6,5324,1910,si,si,91.2,no
CL00738,36,318,7,7,1244,640,no,si,89.7,no
CL00739,59,190,5,3,2083,1249,si,si,92.6,no
CL00740,25,223,3,4,274,71,no,no,91.4,no
CL00741,28,767,3,6,4283,2075,si,si,93,no
CL00742,30,462,7,3,4771,2282,si,no,91.4,no
CL00743,59,451,5,4,13720,7857,si,no,92.2,no
CL00744,46,164,7,2,2169,1121,si,no,93.2,no
CL00745,68,88,9,4,515,244,no,no,94.8,no
CL00746,58,219,9,4,2570,1166,si,no,88.2,si
CL00747,39,290,5,3,3078,1029,no,si,91.4,no
CL00748,26,289,2,3,4014,1864,si,no,99.3,no
CL00749,37,167,10,4,895,228,si,no,96,no
CL00750,21,60,5,3,2498,630,no,no,95.7,no
CL00751,60,775,8,2,1621,360,si,si,89.5,no
CL00752,55,415,6,4,1462,363,no,si,93.9,no
CL00753,63,465,5,5,2514,795,si,no,84.1,no
CL00754,68,31,2,5,802,424,si,no,101,no
CL00755,56,178,7,5,3097,1682,si,no,88.8,no
CL00756,63,266,5,6,5493,1223,si,no,100.2,no
CL00757,56,133,6,4,1686,816,si,si,87.8,no
CL00758,53,602,10,3,966,215,no,no,92.8,no
CL00759,59,561,5,2,11194,5575,si,no,90.2,no
CL00760,24,383,10,4,6660,3834,no,no,96.2,si
CL00761,55,122,2,2,5331,1353,si,no,92.7,si
CL00762,42,468,6,4,1312,449,no,no,93.5,no
CL00763,39,463,8,2,1313,787,no,si,95.3,no
CL00764,46,260,3,11,3794,2271,no,no,93.7,no
CL00765,60,193,3,2,4506,1372,si,si,92.7,no
CL00766,36,135,7,6,653,209,si,si,84.7,no
CL00767,57,170,10,1,271,NA,si,no,92.4,no
CL00768,55,163,5,2,19091,NA,no,no,88.5,si
CL00769,56,76,6,7,733,182,si,no,91.3,si
CL00770,41,189,7,2,927,NA,si,no,88.5,no
CL00771,61,397,11,5,2128,1158,no,no,91,no
CL00772,37,61,6,1,282,90,si,si,95.8,no
CL00773,31,132,7,4,4397,1196,si,si,93.6,no
CL00774,22,342,4,6,5346,2924,si,no,91.7,no
CL00775,56,667,6,7,3126,1411,si,no,91.8,no
CL00776,42,75,7,3,1211,271,si,no,93.4,no
CL00777,49,143,7,2,9587,5700,si,si,91.1,no
CL00778,30,196,8,4,4959,2079,si,no,90.8,no
CL00779,35,262,9,5,2904,1099,si,si,91.9,no
CL00780,32,312,10,2,824,201,si,no,83.6,no
CL00781,52,606,9,5,513,242,si,si,93,si
CL00782,50,524,5,2,2158,982,si,no,98.7,no
CL00783,19,235,6,2,2119,1088,no,no,97,no
CL00784,38,412,6,4,1221,325,si,si,87.3,no
CL00785,28,334,5,6,818,425,no,no,91.8,no
CL00786,51,195,5,3,2427,1156,no,no,91.4,no
CL00787,59,128,6,8,3112,770,si,si,94.7,no
CL00788,35,88,3,4,386,107,no,si,90.5,no
CL00789,36,387,12,6,1619,735,no,no,90.4,no
CL00790,54,112,7,3,7418,2949,no,no,91.7,no
CL00791,57,143,8,3,2183,561,si,no,95.8,no
CL00792,27,322,8,2,764,385,si,no,95.9,no
CL00793,18,111,5,3,872,513,si,no,92.9,no
CL00794,46,78,9,1,6177,3332,si,no,92.3,si
CL00795,42,357,6,10,7165,2532,si,no,93.9,no
CL00796,22,110,5,2,2136,975,si,si,87.6,no
CL00797,67,104,2,5,1284,673,si,si,100.1,no
CL00798,37,81,4,1,3740,816,no,si,93.2,no
CL00799,57,285,6,4,1862,787,no,no,91.7,no
CL00800,20,155,5,2,1248,424,si,no,92.7,no
CL00801,49,120,8,3,3250,1250,si,no,93.5,si
CL00802,26,53,4,2,1341,720,no,si,93.2,no
CL00803,20,321,9,5,2685,598,si,si,86.1,no
CL00804,42,498,7,4,4341,1499,si,no,94.2,si
CL00805,44,59,7,5,1734,690,no,no,93.8,no
CL00806,19,625,5,3,10383,NA,no,no,92.4,no
CL00807,63,166,2,3,8338,2647,no,no,86.8,no
CL00808,40,235,3,3,1394,654,no,no,97.1,no
CL00809,55,342,7,2,351,192,no,no,90,no
CL00810,51,34,11,4,1473,553,no,si,98.7,no
CL00811,24,103,6,4,1027,520,si,si,92.4,no
CL00812,24,498,4,4,783,265,no,no,97.7,si
CL00813,54,391,6,7,1058,436,si,si,93.3,no
CL00814,29,69,5,5,1234,334,no,no,94.8,no
CL00815,35,196,5,3,1378,729,si,si,83.5,no
CL00816,56,159,8,1,3154,812,si,no,91.4,no
CL00817,29,90,6,3,4253,2463,no,si,93.7,no
CL00818,28,223,4,5,6552,2409,no,no,90,no
CL00819,53,293,9,1,953,396,no,no,96.7,no
CL00820,37,106,6,4,1312,380,si,no,90.3,si
CL00821,53,510,3,2,6848,3586,si,si,83,si
CL00822,38,755,1,5,1848,946,no,no,95.2,no
CL00823,28,600,8,6,4527,1390,si,no,84.1,si
CL00824,40,52,4,1,753,NA,si,si,88.4,si
CL00825,48,307,0,6,1062,407,si,no,91.3,no
CL00826,32,463,6,2,8809,5041,no,no,88.5,no
CL00827,29,140,7,7,660,293,si,si,90.6,no
CL00828,26,241,7,5,7980,4213,no,si,88.1,si
CL00829,48,606,4,4,21120,7635,si,no,99.9,no
CL00830,27,84,9,6,4550,2217,si,si,91.7,no
CL00831,67,491,7,1,2158,745,no,no,95.5,no
CL00832,27,61,2,2,4755,1656,si,si,87.2,no
CL00833,19,326,7,4,1809,1008,si,no,92,no
CL00834,68,380,7,10,1386,564,no,no,92.2,no
CL00835,60,795,7,6,1246,576,si,no,95.8,no
CL00836,51,424,2,7,1965,871,si,no,92.2,si
CL00837,49,158,5,4,11943,4426,si,no,93.8,no
CL00838,59,85,7,3,5891,1842,no,si,92.8,no
CL00839,68,846,4,3,2576,930,si,no,91.6,no
CL00840,56,333,2,2,3865,1718,si,no,88.4,no
CL00841,63,28,7,4,277,68,si,no,91.6,no
CL00842,26,108,6,5,1074,461,no,no,97.4,no
CL00843,62,105,3,8,2780,1327,no,si,96.6,no
CL00844,69,60,6,3,6260,2492,si,no,93.5,no
CL00845,40,385,5,3,3341,1730,no,si,93.9,no
CL00846,38,107,6,6,5191,1653,si,no,100.5,no
CL00847,53,448,5,4,2108,738,no,no,99.4,no
CL00848,39,293,7,3,10855,2432,si,si,96.2,no
CL00849,61,155,5,3,1223,386,si,no,92.9,no
CL00850,66,332,5,2,1597,808,si,no,96.9,no
CL00851,44,303,8,5,2601,1145,no,si,95,no
CL00852,18,226,7,1,5906,2395,si,si,96.1,no
CL00853,52,118,5,4,444,151,si,no,87.8,no
CL00854,42,245,6,5,659,310,si,no,93.9,si
CL00855,32,674,5,5,1616,858,no,si,89.2,no
CL00856,23,384,2,7,421,166,si,si,89.9,no
CL00857,62,302,4,5,1501,340,no,no,86.2,no
CL00858,61,148,10,4,304,164,no,no,90.5,no
CL00859,37,143,5,3,686,377,si,no,91,no
CL00860,24,542,6,5,1106,295,no,si,94.9,no
CL00861,30,68,6,4,387,150,no,si,88,no
CL00862,60,139,4,5,6478,2981,si,no,94.6,no
CL00863,61,161,8,4,3234,NA,si,no,98.1,no
CL00864,18,300,5,2,386,229,si,no,86,no
CL00865,37,220,10,3,1811,957,si,si,90.5,no
CL00866,59,184,4,2,1618,739,si,si,81.5,no
CL00867,69,164,5,1,8508,2178,si,no,85.6,si
CL00868,23,260,6,5,4078,1752,si,no,89.7,no
CL00869,24,371,5,2,2175,775,no,si,92.6,no
CL00870,43,477,11,4,1451,846,no,si,86.3,no
CL00871,63,52,5,4,2650,1164,si,si,96.8,no
CL00872,49,256,3,4,189,94,no,no,100.5,no
CL00873,37,191,10,5,1610,675,no,si,88.9,no
CL00874,30,201,6,2,411,132,no,si,95.3,no
CL00875,20,132,8,4,447,262,si,no,95.3,no
CL00876,57,41,3,5,7904,2676,si,no,89.3,no
CL00877,52,124,4,3,999,393,si,si,97.1,no
CL00878,67,210,6,5,22447,8162,no,no,92.2,no
CL00879,51,144,5,8,5308,2438,si,no,91.1,no
CL00880,59,167,3,3,1955,970,si,no,94.6,no
CL00881,21,153,7,4,1321,NA,si,no,93.9,no
CL00882,52,120,7,5,1137,413,si,no,92.3,si
CL00883,43,615,5,4,3208,1443,si,no,86.5,no
CL00884,21,788,5,5,199,66,no,no,95.8,no
CL00885,37,232,8,1,2719,1015,si,si,89.2,si
CL00886,34,522,1,3,6335,3519,si,no,88.5,no
CL00887,44,598,8,5,1978,668,si,si,98.9,no
CL00888,34,262,8,4,1868,631,no,si,98.5,no
CL00889,64,363,5,8,2616,NA,no,no,95.1,no
CL00890,36,143,6,4,441,100,no,no,94.7,no
CL00891,19,215,5,2,1439,NA,no,no,91.6,no
CL00892,62,120,7,4,1789,1005,no,si,95.2,no
CL00893,57,582,5,5,3110,1033,si,no,96.7,no
CL00894,33,317,7,2,1318,410,si,si,91.4,no
CL00895,45,408,5,2,9604,3153,si,no,90.3,no
CL00896,19,175,0,4,532,242,no,si,88.8,no
CL00897,26,17,7,4,181,74,no,si,95.4,no
CL00898,70,249,7,4,242,92,si,si,95.2,no
CL00899,24,289,5,4,3478,1611,no,no,87.1,no
CL00900,65,428,6,2,3412,782,si,si,97.2,no
CL00901,28,297,6,3,4096,2401,no,si,88.8,no
CL00902,31,272,8,1,2148,955,no,si,91.2,no
CL00903,62,192,8,5,4564,1381,no,si,88.1,no
CL00904,63,37,9,3,4887,1597,no,si,95,no
CL00905,60,93,9,2,629,257,si,si,98.8,no
CL00906,37,148,7,3,3953,NA,no,no,97.9,no
CL00907,48,83,7,3,1447,817,no,no,90.7,no
CL00908,70,319,10,5,996,537,si,no,90.7,no
CL00909,27,356,9,6,399,151,si,si,96,si
CL00910,21,361,7,1,4261,1310,si,no,96.2,no
CL00911,40,35,4,4,5457,1688,si,si,92.4,no
CL00912,41,658,6,3,1082,249,no,si,89.7,no
CL00913,50,168,6,5,1941,794,no,si,94.9,no
CL00914,32,321,3,1,11804,6694,si,si,94.5,no
CL00915,20,132,3,3,1037,523,no,no,94.4,no
CL00916,43,176,7,5,2141,NA,si,si,92.6,no
CL00917,20,368,8,3,4722,1931,no,no,96.3,si
CL00918,48,229,3,4,3009,760,no,no,92.2,no
CL00919,45,85,2,4,923,530,si,no,87.8,no
CL00920,49,379,7,5,434,198,no,no,91.4,no
CL00921,65,460,8,4,1595,674,no,no,90.1,no
CL00922,54,527,6,6,333,165,si,si,88.5,si
CL00923,30,51,5,3,7392,2544,no,si,90.6,no
CL00924,52,237,5,4,6495,2906,no,si,87.7,no
CL00925,19,99,11,4,548,269,no,si,97.9,no
CL00926,45,144,4,6,3124,1263,no,no,95.5,no
CL00927,44,364,5,9,878,474,si,si,97.1,si
CL00928,28,99,2,2,6534,3055,si,no,91.5,no
CL00929,27,119,4,4,3536,1455,no,si,92.3,no
CL00930,67,230,8,3,3032,932,no,si,91,no
CL00931,46,288,1,7,855,294,si,si,94.2,no
CL00932,66,319,4,8,1263,631,no,si,85.8,no
CL00933,46,294,8,6,1359,790,no,no,84.4,no
CL00934,24,123,6,2,2125,1095,no,si,90.2,no
CL00935,65,156,7,6,5735,NA,no,si,94.4,no
CL00936,40,30,5,4,1702,626,no,no,91.7,no
CL00937,30,170,5,5,2274,1347,no,no,92.8,no
CL00938,68,318,3,3,430,144,no,no,87.8,no
CL00939,68,93,3,6,7954,2402,si,si,90.9,si
CL00940,23,169,6,6,1954,1154,si,si,95.6,no
CL00941,35,143,4,3,1485,877,si,si,87.7,no
CL00942,65,161,15,2,8065,3617,si,no,95.1,si
CL00943,21,182,5,3,623,137,si,si,86.8,no
CL00944,66,214,6,6,7626,4365,si,no,95.6,no
CL00945,42,145,2,7,1072,586,no,si,88.3,no
CL00946,43,634,9,5,2214,531,no,no,86.2,no
CL00947,64,716,8,5,1105,409,no,no,86.5,si
CL00948,45,277,5,4,643,325,no,si,87.3,no
CL00949,40,97,8,5,452,211,no,no,92.9,no
CL00950,57,155,11,3,965,256,no,si,92.1,no
CL00951,50,209,4,6,6182,2911,no,no,91.4,no
CL00952,66,77,7,8,2313,591,si,si,91.4,si
CL00953,21,295,3,4,812,169,no,no,90.9,no
CL00954,69,588,5,1,1647,543,si,si,93.5,no
CL00955,47,206,7,6,6230,NA,si,no,90.6,no
CL00956,33,352,8,6,6258,2755,si,no,93.1,no
CL00957,42,225,3,6,1540,813,si,si,96.2,no
CL00958,42,117,8,2,406,132,no,si,91.7,no
CL00959,18,303,2,5,2961,1030,si,si,98.6,no
CL00960,19,63,4,3,905,374,no,no,93.2,no
CL00961,27,146,6,3,1671,801,si,si,87.1,no
CL00962,20,122,3,4,3365,1519,si,si,88.2,no
CL00963,45,324,8,4,4080,1147,no,no,87.8,no
CL00964,33,315,4,3,4778,2678,no,no,88.1,no
CL00965,48,354,7,3,6932,2981,si,no,93.3,no
CL00966,37,127,5,3,1467,440,si,si,89.6,no
CL00967,59,280,10,6,621,331,si,si,89.4,no
CL00968,47,12,6,3,1906,1080,si,no,86.3,no
CL00969,36,231,5,2,897,312,no,no,88.4,no
CL00970,68,67,3,7,3860,831,no,no,97.2,no
CL00971,54,374,6,7,4545,1895,no,si,89.8,no
CL00972,31,66,6,2,2006,869,si,no,89.3,no
CL00973,58,120,10,2,1710,936,si,no,95.4,no
CL00974,65,495,6,4,2575,898,no,no,91.6,no
CL00975,45,66,4,2,1425,654,no,si,95.6,no
CL00976,30,445,3,3,2960,1328,si,si,91.6,no
CL00977,29,47,7,3,7475,2052,si,no,97.4,no
CL00978,29,134,4,4,778,162,no,si,87.1,no
CL00979,60,139,5,5,10960,4115,si,si,89.6,no
CL00980,29,236,4,5,3253,1479,si,si,88.7,no
CL00981,20,249,9,7,1374,599,no,no,91.6,no
CL00982,52,254,8,5,538,292,no,si,85,no
CL00983,63,203,5,6,1478,605,si,no,92.9,no
CL00984,64,88,12,4,3017,962,no,no,91.5,no
CL00985,50,535,6,7,7076,2043,si,si,82.7,no
CL00986,35,241,6,5,793,426,no,si,90.6,no
CL00987,68,178,5,3,5874,2612,si,no,91.5,no
CL00988,56,54,4,3,9058,NA,no,no,95.6,si
CL00989,64,365,5,3,2297,928,si,no,91.5,no
CL00990,48,167,8,8,3133,NA,si,si,92.3,no
