id,edad,educacion,raza_negro,raza_hispano,casado,re74,re75,tratamiento,re78
626,35,10,0,1,0,1733,6418,1,10609
627,29,12,0,0,0,5142,0,0,8095
628,21,15,1,0,0,0,2212,0,6234
629,18,10,0,1,0,0,586,1,10861
630,43,13,1,0,0,0,0,0,8158
631,23,5,0,0,0,26462,0,0,12383
632,18,9,0,1,0,1292,7131,1,5423
633,32,7,1,0,0,85519,2768,0,17053
634,30,13,0,0,0,0,272,0,8015
635,19,10,1,0,0,2629,0,1,9160
636,18,10,1,0,1,4693,120,0,9296
637,27,14,1,0,0,17847,0,1,11281
638,36,13,0,0,1,238626,4190,0,47722
639,32,8,0,0,0,8778,18275,0,9213
640,25,12,1,0,0,10338,0,0,14199
641,22,7,0,0,0,0,48565,0,17265
642,30,9,0,0,0,5823,0,0,7679
643,29,15,0,0,0,290,0,0,8434
644,32,14,1,0,0,3605,0,0,5261
645,25,13,1,0,0,28388,0,0,13815
646,34,9,0,0,0,3875,820,0,2637
647,22,6,1,0,0,4586,59030,0,18489
648,26,8,1,0,1,5151,5784,0,8793
649,33,13,1,0,0,4237,2217,0,4133
650,35,10,1,0,1,0,969,0,10898
651,18,5,0,1,0,802,645,0,2935
652,29,10,0,0,1,2760,0,0,11043
653,32,14,1,0,1,0,512,0,3575
654,18,12,1,0,0,9737,4220,0,7880
655,31,8,0,0,0,0,15458,0,10818
656,22,7,0,0,0,1978,6153,0,3683
657,35,8,1,0,0,0,0,0,8208
658,32,11,0,0,1,0,4460,0,11133
659,33,13,1,0,0,1059,0,0,7225
660,29,6,0,0,1,6129,13597,0,11904
661,34,13,1,0,0,2001,36779,0,16733
662,38,11,1,0,0,2369,6657,0,10830
663,42,12,1,0,0,8134,78,0,9186
664,28,6,0,0,0,13497,8698,0,14615
665,18,9,0,0,0,7756,5196,0,7713
666,28,9,0,0,0,0,512,0,9751
667,29,13,0,0,1,19066,3437,0,13992
668,27,13,1,0,0,16954,1797,1,18328
669,32,12,0,0,1,0,2363,0,10274
670,35,15,1,0,0,7157,7084,0,11480
671,24,9,0,0,0,1222,1978,0,6420
672,26,13,0,0,0,28569,0,0,6525
673,31,10,1,0,0,0,701,1,2104
674,24,9,0,0,0,17687,0,0,9045
675,29,13,0,0,0,7830,7794,0,12050
676,18,14,0,1,0,4316,7991,0,8274
677,20,13,0,1,0,12095,0,1,12861
678,19,9,1,0,0,1308,235,0,9390
679,22,9,0,0,0,881,4188,0,13019
680,23,14,0,0,0,2304,811,0,2760
681,31,11,0,0,0,0,0,0,10380
682,35,13,0,0,0,2992,4429,0,13346
683,23,10,0,0,0,2813,1116,0,9930
684,21,14,1,0,0,14839,0,0,12759
685,21,8,0,0,0,2690,0,0,6211
686,25,12,1,0,0,15825,2101,0,8585
687,26,8,1,0,0,0,508,0,8185
688,31,4,1,0,0,3613,14869,0,5879
689,26,7,0,0,0,1823,0,0,9052
690,18,11,0,1,0,2947,1942,0,5022
691,27,13,0,0,0,1219,29288,0,14293
692,36,6,0,0,0,8403,3297,0,6186
693,36,7,0,0,0,0,872,0,9466
694,22,15,0,0,0,0,0,0,8920
695,18,9,0,0,0,0,5460,0,9479
696,45,12,1,0,0,0,0,0,14678
697,27,9,0,0,1,0,0,0,5168
698,27,10,0,0,0,9224,17737,0,17149
699,31,11,0,0,0,10510,5309,0,12725
700,18,11,0,0,1,0,0,0,8546
701,23,10,0,0,0,39928,0,0,9596
702,18,9,1,0,1,36698,3296,0,21065
703,23,4,1,0,1,0,1556,1,1663
704,29,15,0,0,0,2978,0,0,7603
705,18,15,0,0,0,879,812,0,12613
706,32,8,1,0,1,1427,4271,0,3120
707,30,10,0,0,0,0,7365,0,10662
708,22,14,1,0,1,7493,1145,0,5110
709,30,13,1,0,0,1926,0,0,8848
710,33,14,1,0,0,7058,1064,1,17405
711,35,8,1,0,0,2052,3833,0,7311
712,27,17,0,0,0,6630,22024,0,18094
713,27,8,1,0,0,0,0,0,7230
714,27,12,0,1,1,3495,1893,0,7160
715,38,11,0,0,0,1553,0,0,5652
716,36,9,0,0,1,2812,1248,1,9540
717,34,10,0,0,0,0,13602,0,12171
718,26,8,0,0,0,2716,2801,0,4391
719,31,15,0,0,0,3326,0,0,9822
720,31,11,1,0,0,1361,8668,1,13020
721,21,11,1,0,0,2919,10446,1,9155
722,18,11,0,0,0,4770,682,0,8016
723,32,10,1,0,0,2049,535,0,7065
724,18,8,0,0,1,3105,4319,0,4012
725,28,11,1,0,0,1312,0,0,5999
726,30,5,1,0,0,12076,2678,0,2866
727,32,7,0,1,0,69684,3559,0,16180
728,29,8,0,0,1,2950,27466,0,16677
729,23,8,0,0,0,0,2312,0,8809
730,35,11,1,0,0,32806,1918,0,9382
731,40,14,0,0,1,3098,28362,0,14744
732,34,7,1,0,0,3081,0,0,10794
733,18,12,1,0,0,10686,5382,0,3393
734,38,13,0,0,0,1567,851,1,8018
735,28,8,0,0,0,3993,9888,1,10496
736,32,10,1,0,1,2531,16357,0,11551
737,32,13,1,0,1,0,0,0,6613
738,27,10,1,0,0,8142,0,0,3011
739,27,10,0,0,0,4161,22936,0,13426
740,35,11,1,0,0,66399,2815,0,13461
741,33,10,0,1,0,0,36459,0,14471
742,35,9,0,0,0,10661,7028,0,11974
743,45,10,0,0,0,1834,6631,1,15073
744,33,15,1,0,0,3486,0,1,13776
745,29,13,0,0,0,0,17154,0,15669
746,18,8,1,0,0,9839,6994,0,6998
747,47,7,1,0,0,24997,1567,0,4523
748,25,10,0,0,0,8839,11872,0,6858
749,45,14,1,0,0,0,10122,0,12936
750,31,11,1,0,0,0,2174,0,134
751,39,9,1,0,0,0,3093,1,10848
752,27,13,1,0,0,6091,2892,0,8747
753,32,10,1,0,0,4633,0,1,14337
754,29,8,1,0,0,3793,9081,0,7957
755,27,12,1,0,0,5416,674,0,1200
756,27,14,0,0,0,0,6091,0,12946
757,35,12,1,0,0,19611,629,0,13432
758,27,11,0,0,0,10674,12679,1,13090
759,18,9,0,0,1,5402,10795,0,10324
760,27,12,0,0,0,15283,38061,0,21170
761,32,8,0,0,0,1134,970,0,7979
762,32,6,0,0,0,0,12656,1,10921
763,32,10,0,0,0,6339,3107,1,11293
764,18,10,1,0,0,8990,5214,0,14001
765,31,16,0,0,0,2845,0,0,13673
766,35,7,0,0,0,1922,6621,0,14636
767,37,11,1,0,0,2552,1060,1,7985
768,26,13,1,0,0,0,1363,0,6106
769,26,13,0,0,0,18196,10772,0,12992
770,38,10,1,0,0,0,126,1,10395
771,18,9,1,0,1,4562,2901,1,14760
772,25,10,1,0,1,0,0,1,10018
773,31,15,1,0,0,0,9856,0,9560
774,18,12,1,0,0,763,6746,0,8926
775,30,5,0,0,0,4062,792,0,5300
776,41,14,0,1,0,10137,23848,0,15761
777,28,12,0,1,0,1218,14284,1,10046
778,26,10,0,1,0,0,22590,0,12575
779,31,10,1,0,0,8840,1252,0,6429
780,26,10,1,0,1,34381,39559,0,18998
781,34,11,0,0,0,0,17099,0,12410
782,34,9,0,0,1,0,16125,0,13975
783,28,11,0,0,0,1588,0,0,7564
784,20,8,0,1,1,29193,0,0,10219
785,19,11,1,0,1,2102,0,0,6659
786,24,13,0,0,0,1799,779,0,11829
787,34,12,1,0,0,0,0,0,9175
788,18,13,1,0,0,2427,10229,0,9442
789,18,8,0,0,0,0,0,1,5175
790,23,11,0,0,0,10175,5375,0,10576
791,31,12,0,0,0,7059,22838,0,11313
792,22,8,0,0,0,8688,1627,0,11301
793,34,14,1,0,0,2307,0,0,9256
794,30,8,0,0,0,11724,14489,0,16545
795,27,11,1,0,0,128,838,0,9753
796,34,11,0,0,0,0,369,0,9570
797,31,11,1,0,0,0,0,0,5055
798,25,10,0,0,0,0,0,0,6898
799,30,12,1,0,0,8696,71271,0,22349
800,33,8,0,0,1,1133,5898,0,9096
801,30,7,0,0,0,2300,3893,0,11108
802,23,9,0,1,0,5603,0,1,9094
803,34,10,0,0,1,754,0,0,9498
804,36,14,0,0,1,4683,0,0,10000
805,30,14,0,1,0,0,0,0,12274
806,29,11,0,0,0,3517,866,0,10174
807,27,11,0,0,0,0,8482,0,7319
808,43,10,0,0,0,19934,20127,0,17037
809,30,11,1,0,0,827,2728,0,10529
810,27,7,0,1,1,835,0,0,5894
811,18,11,1,0,0,0,0,0,5921
812,18,9,0,0,0,0,0,0,5458
813,27,11,0,1,0,5587,2609,1,14097
814,29,10,0,0,0,0,1629,0,8213
815,30,9,0,1,0,3793,8237,0,16817
816,34,10,1,0,0,6802,1481,1,3459
817,27,10,0,0,0,0,630,1,9170
818,37,13,1,0,0,0,10803,0,12922
819,22,11,0,0,0,25459,0,0,10546
820,20,12,0,0,0,1932,0,0,14290
821,19,7,0,1,1,4065,1729,0,7159
822,33,14,0,0,0,8073,11176,0,10152
823,27,11,0,0,0,0,1216,1,8535
824,34,8,1,0,0,0,10197,0,7271
825,26,11,0,0,0,0,0,0,8019
826,24,13,0,0,0,2545,734,0,9450
827,25,7,1,0,0,3262,7080,0,11276
828,18,15,0,0,0,16557,0,1,11125
829,20,10,0,0,0,513,0,0,5690
830,18,13,0,0,0,6412,3629,0,9936
831,35,11,0,0,0,0,5438,0,6050
832,24,10,0,0,1,3250,0,0,9512
833,34,6,0,0,0,10403,4617,0,9662
834,39,8,0,0,0,2105,21204,0,9164
835,27,10,0,0,0,6036,31494,0,12387
836,30,13,0,0,0,4973,36255,0,18302
837,18,6,1,0,0,4749,0,1,4273
838,22,14,1,0,0,1063,0,1,11323
839,28,14,0,0,0,0,889,0,7529
840,30,8,1,0,0,0,2435,1,7373
841,23,12,0,1,1,3192,5805,0,11607
842,47,8,0,0,0,16799,0,0,7758
843,25,10,0,0,0,2490,3049,0,11149
844,28,13,0,0,0,4725,3340,1,12860
845,33,13,0,0,0,0,0,0,15617
846,28,8,1,0,0,3915,1433,0,5095
847,23,10,0,0,0,12930,1668,0,3593
848,35,8,1,0,0,4671,0,0,9666
849,39,11,1,0,0,0,0,0,6879
850,28,7,0,1,0,0,755,0,10405
851,32,4,0,0,0,0,0,0,2301
852,27,14,1,0,0,0,0,0,15367
853,35,16,0,0,0,0,837,0,14608
854,20,9,0,0,0,19572,0,0,8927
855,44,12,0,0,0,0,0,0,12347
856,24,10,0,0,0,344,4155,1,9855
857,18,14,0,0,0,1782,4316,0,15808
858,26,12,1,0,0,1602,6965,0,6794
859,29,11,1,0,0,20270,4552,0,11039
860,39,6,0,1,0,5835,0,0,3329
861,34,13,0,0,1,0,0,0,9828
862,29,10,1,0,0,0,0,0,3237
863,18,7,1,0,1,0,3032,0,11373
864,22,10,0,0,0,0,926,0,6363
865,27,10,0,0,0,2003,0,0,5857
866,46,13,1,0,0,4918,8495,0,14236
867,18,8,0,0,0,4350,3727,0,2490
868,36,9,0,1,1,4135,1975,1,13879
869,24,14,0,0,0,3302,5275,0,8480
870,40,14,0,0,0,49289,1746,0,18003
871,20,13,1,0,0,30086,3645,0,8111
872,29,15,1,0,1,0,5671,0,12429
873,20,11,1,0,0,0,348,0,8891
874,34,9,0,0,0,0,0,0,8343
875,38,12,0,0,0,18454,0,0,9474
876,42,13,0,0,0,0,0,0,11076
877,34,17,0,0,0,26682,25926,0,20295
878,41,6,0,0,1,2110,16653,0,12680
879,37,11,0,0,0,0,0,1,8746
880,27,12,0,0,0,6018,2579,0,17004
881,31,10,0,0,0,491,0,0,2338
882,21,7,0,0,0,4188,0,1,10174
883,27,12,1,0,0,0,367,0,12477
884,37,9,0,0,0,464,0,0,4983
885,32,12,0,0,0,0,5286,0,4601
886,31,13,0,1,0,7402,4204,0,6453
887,21,14,0,1,0,0,0,1,9987
888,24,7,0,0,1,0,0,0,11451
889,23,13,1,0,0,2190,4234,0,10276
890,31,9,1,0,0,1880,0,1,8228
891,21,7,1,0,0,12906,18566,0,7893
892,32,14,0,1,0,28036,22651,0,16010
893,20,13,0,0,0,0,0,0,8404
894,41,10,0,0,0,6376,0,0,9210
895,31,12,0,0,1,0,1210,0,9386
896,23,8,1,0,1,34686,2987,0,6462
897,30,10,1,0,0,247,0,0,6792
898,26,10,0,1,0,0,4815,1,8803
899,31,10,0,0,0,4019,15390,1,9048
900,30,12,0,0,0,0,0,0,3086
901,21,14,1,0,1,0,791,0,9041
902,22,9,1,0,0,1516,3744,0,3659
903,30,10,1,0,1,7426,689,1,4793
904,39,15,1,0,0,6140,15368,0,12922
905,36,10,0,0,0,5822,3289,0,10973
906,24,4,0,0,0,532,0,0,7967
907,34,12,0,1,0,5972,0,1,7418
908,28,8,1,0,0,2719,0,1,7204
909,30,8,1,0,1,2112,1595,0,10505
910,30,14,0,0,0,1188,881,0,5032
911,46,17,0,1,0,0,4087,0,14748
912,20,8,1,0,0,0,17477,0,14539
913,29,13,1,0,1,21947,0,0,9428
914,18,10,0,0,0,11319,0,0,8192
915,32,11,0,0,1,0,0,0,0
916,36,14,0,0,1,38553,883,0,10655
917,38,11,1,0,0,34013,11370,0,18650
918,18,8,1,0,1,14524,3535,0,131
919,31,9,0,0,0,0,5404,0,8795
920,39,12,0,0,1,27438,33065,0,19098
921,25,5,0,0,0,0,13051,0,7813
922,27,13,0,0,0,0,0,0,6694
923,28,7,0,0,1,6536,664,0,7973
924,31,11,0,0,0,5300,6221,0,9853
925,33,10,0,0,0,2717,7579,0,11256
926,37,14,1,0,0,11180,17262,0,13058
927,27,11,0,1,1,0,0,0,11452
928,29,11,0,0,0,2496,5211,0,6365
929,45,12,1,0,0,3622,4920,0,9174
930,31,8,1,0,1,0,6829,0,1852
931,29,10,0,0,1,5910,0,0,11004
932,19,13,0,0,1,0,4919,0,11023
933,28,12,1,0,0,3446,2523,0,10229
934,26,7,1,0,0,0,0,0,419
935,28,12,1,0,0,0,4090,0,6093
936,24,7,0,1,0,6654,3951,1,5358
937,23,9,1,0,0,0,4026,0,6019
938,23,14,0,0,0,14137,0,0,8401
939,26,5,0,0,0,71548,1980,0,15623
940,38,6,0,0,0,0,12224,1,14505
941,35,14,0,1,0,1516,0,0,14311
942,25,8,0,0,0,0,26114,0,7185
943,18,14,0,0,0,650,0,0,4525
944,22,10,0,0,0,21012,440,0,13888
945,25,12,1,0,0,1399,0,1,8790
946,29,13,0,0,0,8319,0,0,6930
947,23,9,0,0,1,3277,0,1,12328
948,42,10,0,0,0,283,605,0,4803
949,26,9,0,1,0,6709,0,0,6672
950,20,18,1,0,0,0,3840,0,10768
951,27,11,1,0,0,0,0,0,8624
952,21,12,0,0,0,0,15490,0,13754
953,29,10,1,0,1,4200,10650,0,12084
954,30,10,1,0,0,1388,7084,0,9208
955,30,14,0,0,0,19008,1516,0,15244
956,18,10,1,0,0,2052,10651,0,7316
957,30,11,0,1,0,0,17363,1,9967
958,30,11,0,0,0,2802,9805,0,12008
959,18,9,1,0,1,5743,16512,0,12310
960,35,15,0,0,0,28419,0,0,16981
961,33,7,1,0,0,2168,13660,0,5680
962,44,16,1,0,0,43579,0,0,16691
963,29,10,0,1,0,16049,1259,0,8026
964,28,14,0,0,0,22960,24908,0,20636
965,29,6,0,1,0,0,0,0,8469
966,28,13,0,0,0,4015,0,1,13541
967,18,13,0,0,0,846,4395,0,6261
968,18,7,0,1,0,0,0,0,2290
969,27,9,0,0,0,21319,898,0,8536
970,24,11,0,0,0,2342,0,0,9271
971,28,13,1,0,0,2659,3384,0,6209
972,18,9,0,1,0,702,14444,1,11847
973,18,10,1,0,0,12697,0,0,10635
974,20,14,1,0,0,28391,2578,0,13633
975,35,8,0,0,0,639,0,1,12591
976,20,13,1,0,0,0,0,1,8765
977,22,12,0,0,1,0,1791,0,10339
978,29,8,1,0,1,24791,9008,0,9371
979,26,9,0,0,0,7676,24437,0,16053
980,29,12,0,0,0,6573,1246,0,4337
981,44,11,1,0,0,2332,2899,0,4108
982,20,14,0,0,1,0,2659,0,11557
983,26,9,0,0,0,0,4185,0,5186
984,24,6,1,0,0,0,5987,0,6714
985,39,13,0,0,0,2866,9663,0,8106
986,23,9,0,1,0,114,14136,0,9581
987,27,11,1,0,1,8955,0,0,3718
988,34,15,0,0,1,1087,3957,0,13475
989,21,10,0,0,0,13191,0,0,3751
990,40,14,0,0,0,769,1972,0,11009
991,33,8,1,0,0,3603,0,0,5922
992,20,13,0,0,0,7852,32631,0,20333
993,31,11,1,0,0,0,0,0,13566
994,27,9,1,0,0,475,9596,0,2540
995,30,7,0,0,0,0,3690,0,6138
996,27,11,0,1,0,1771,1210,0,5534
997,35,11,1,0,0,34522,5519,0,11165
998,19,11,0,1,0,0,3792,1,5430
999,24,12,1,0,1,0,1178,0,9448
1000,26,9,0,1,0,6096,4121,0,8715
