id_solicitud,edad,ingreso_mensual_mxn,monto_solicitado_mxn,plazo_meses,pago_mensual_estimado_mxn,pct_deuda_ingreso,score_historial,num_creditos_activos,antiguedad_empleo_anios,aprobado
CR0437,19,42647,71000,36,1972,0.046,679,2,2,si
CR0438,40,15286,101000,24,4208,0.275,764,2,8,si
CR0439,73,21687,149000,24,6208,0.286,675,1,3.7,si
CR0440,46,23457,95000,36,2639,0.113,NA,1,8.6,si
CR0441,32,42593,319000,36,8861,0.208,660,1,15,si
CR0442,19,28349,125000,60,2083,0.073,584,0,2,no
CR0443,24,29360,125000,36,3472,0.118,627,2,1.8,si
CR0444,34,21209,107000,24,4458,0.21,623,1,10.6,si
CR0445,67,20071,64000,24,2667,0.133,574,2,9.5,no
CR0446,52,74499,477000,48,9938,0.133,593,2,5.6,si
CR0447,25,40340,314000,6,52333,1.297,637,0,8,no
CR0448,51,27483,201000,24,8375,0.305,593,2,0.8,no
CR0449,62,15461,75000,12,6250,0.404,615,2,3.8,si
CR0450,35,NA,59000,6,9833,0.908,604,2,13.3,no
CR0451,71,30724,61000,36,1694,0.055,602,4,3.9,no
CR0452,40,20509,154000,36,4278,0.209,514,1,2.9,no
CR0453,26,16280,99000,12,8250,0.507,666,4,0.2,si
CR0454,46,23510,101000,12,8417,0.358,638,3,7,si
CR0455,29,NA,16000,36,444,0.069,619,1,9,si
CR0456,21,8655,24000,36,667,0.077,666,3,4,si
CR0457,35,24162,131000,24,5458,0.226,583,1,5.5,si
CR0458,22,31433,86000,12,7167,0.228,715,2,4.5,si
CR0459,33,19005,45000,48,938,0.049,660,0,1.9,si
CR0460,25,18221,84000,12,7000,0.384,691,3,8,si
CR0461,23,24451,100000,48,2083,0.085,715,3,2,no
CR0462,61,26788,204000,24,8500,0.317,656,2,5.6,si
CR0463,26,18386,42000,24,1750,0.095,728,2,5.4,si
CR0464,52,34015,104000,24,4333,0.127,719,3,17.1,si
CR0465,34,22892,97000,6,16167,0.706,645,3,2.1,no
CR0466,68,17768,40000,24,1667,0.094,662,1,6.6,si
CR0467,28,19253,140000,24,5833,0.303,600,1,5,si
CR0468,58,6925,46000,60,767,0.111,695,0,2.8,no
CR0469,42,34639,137000,6,22833,0.659,NA,2,4.2,no
CR0470,54,68383,128000,12,10667,0.156,562,1,3.2,no
CR0471,19,64114,313000,12,26083,0.407,607,0,2,si
CR0472,42,71807,186000,36,5167,0.072,641,2,9.6,no
CR0473,45,14496,89000,6,14833,1.023,636,1,6.9,no
CR0474,60,32431,228000,6,38000,1.172,627,2,4.6,no
CR0475,58,NA,65000,24,2708,0.157,595,1,15.4,no
CR0476,22,11998,70000,48,1458,0.122,849,3,2,no
CR0477,40,10851,49000,12,4083,0.376,624,2,7.5,si
CR0478,57,35003,190000,24,7917,0.226,709,0,2.4,no
CR0479,56,54654,84000,36,2333,0.043,500,0,18.1,no
CR0480,66,10551,30000,6,5000,0.474,670,1,4.9,si
CR0481,67,7324,57000,24,2375,0.324,642,1,4.9,si
CR0482,40,7087,36000,60,600,0.085,572,2,11.5,si
CR0483,60,33519,159000,36,4417,0.132,414,2,5.1,no
CR0484,57,30179,192000,24,8000,0.265,732,0,2.7,si
CR0485,39,23531,89000,48,1854,0.079,669,3,1.8,si
CR0486,31,48780,111000,60,1850,0.038,579,2,7.4,si
CR0487,44,90786,505000,36,14028,0.155,639,1,5.1,si
CR0488,68,28108,204000,36,5667,0.202,707,0,1.4,no
CR0489,53,14350,39000,12,3250,0.226,706,5,7.3,si
CR0490,75,20488,40000,36,1111,0.054,582,2,5.2,si
CR0491,74,46071,277000,24,11542,0.251,539,4,7.3,no
CR0492,35,16685,120000,24,5000,0.3,850,1,9.4,no
CR0493,46,86027,315000,24,13125,0.153,676,1,11.8,si
CR0494,61,19242,147000,24,6125,0.318,711,1,0.3,si
CR0495,73,42649,98000,48,2042,0.048,585,2,4,no
CR0496,44,50553,268000,36,7444,0.147,504,5,1.4,no
CR0497,39,20735,126000,60,2100,0.101,617,0,6.4,si
CR0498,61,17127,75000,12,6250,0.365,639,1,9.6,si
CR0499,23,NA,338000,36,9389,0.195,674,0,6,no
CR0500,75,19611,78000,12,6500,0.331,545,3,4.8,no
CR0501,42,28562,147000,36,4083,0.143,639,2,3.2,si
CR0502,40,22130,52000,12,4333,0.196,694,1,16.5,si
CR0503,64,54057,176000,24,7333,0.136,669,1,1.3,si
CR0504,65,28313,162000,36,4500,0.159,511,3,3.5,si
CR0505,28,14689,31000,12,2583,0.176,847,3,1.9,no
CR0506,50,66459,383000,12,31917,0.48,NA,0,2.3,si
CR0507,37,17522,34000,36,944,0.054,795,0,11,si
CR0508,73,17790,107000,36,2972,0.167,741,0,4.1,si
CR0509,21,30905,180000,48,3750,0.121,539,5,4,no
CR0510,19,9222,63000,48,1312,0.142,757,1,2,no
CR0511,29,25436,125000,24,5208,0.205,632,0,7.4,si
CR0512,45,7111,22000,12,1833,0.258,729,1,2.2,si
CR0513,44,24982,197000,6,32833,1.314,556,0,12.6,no
CR0514,25,67656,537000,24,22375,0.331,645,1,4.8,si
CR0515,18,39746,120000,60,2000,0.05,NA,3,1,no
CR0516,61,30092,231000,12,19250,0.64,689,2,15.6,si
CR0517,71,18809,93000,36,2583,0.137,662,1,10.4,si
CR0518,54,35361,118000,60,1967,0.056,504,2,0.4,no
CR0519,75,15804,102000,24,4250,0.269,627,1,3.4,si
CR0520,55,20569,121000,24,5042,0.245,642,2,2.9,si
CR0521,68,NA,147000,24,6125,0.282,635,3,3.6,si
CR0522,54,44869,235000,12,19583,0.436,608,0,4.4,si
CR0523,52,17576,78000,12,6500,0.37,725,4,4.5,si
CR0524,19,NA,208000,24,8667,0.135,850,1,2,no
CR0525,22,14503,33000,6,5500,0.379,699,2,5,si
CR0526,35,40299,155000,12,12917,0.321,787,3,1.9,no
CR0527,58,45961,356000,36,9889,0.215,678,3,2.8,si
CR0528,62,21139,50000,60,833,0.039,577,0,4,no
CR0529,44,43651,248000,24,10333,0.237,620,1,4.9,no
CR0530,67,NA,268000,36,7444,0.156,606,3,6.9,si
CR0531,30,47371,176000,36,4889,0.103,681,1,2.3,si
CR0532,40,23003,117000,12,9750,0.424,768,2,5.1,si
CR0533,34,42692,316000,48,6583,0.154,782,1,9.8,no
CR0534,51,16676,30000,12,2500,0.15,638,1,6.1,si
CR0535,66,30658,84000,12,7000,0.228,782,0,8.1,no
CR0536,24,15345,46000,6,7667,0.5,626,2,5.4,si
CR0537,51,NA,95000,48,1979,0.035,692,2,7.3,no
CR0538,62,24617,85000,60,1417,0.058,662,2,4.9,si
CR0539,65,41962,74000,6,12333,0.294,517,2,5.2,no
CR0540,60,6676,43000,24,1792,0.268,755,1,0.6,no
CR0541,28,15423,46000,24,1917,0.124,747,0,8.7,si
CR0542,45,28236,106000,12,8833,0.313,850,4,0.8,no
CR0543,31,NA,74000,6,12333,0.634,612,0,2,no
CR0544,58,16665,106000,48,2208,0.132,692,4,5.4,si
CR0545,59,68909,517000,24,21542,0.313,459,2,4.3,no
CR0546,49,46714,215000,60,3583,0.077,646,0,2.1,no
CR0547,62,19774,118000,36,3278,0.166,566,2,0.4,no
CR0548,34,28214,131000,24,5458,0.193,525,3,2.1,no
CR0549,42,14940,111000,12,9250,0.619,729,0,5.6,no
CR0550,66,53388,284000,6,47333,0.887,458,2,3.7,no
CR0551,74,13847,77000,48,1604,0.116,850,1,10.3,no
CR0552,67,48781,225000,24,9375,0.192,714,1,5.1,no
CR0553,66,37599,211000,24,8792,0.234,642,1,3.1,si
CR0554,56,34209,206000,24,8583,0.251,534,3,0.8,no
CR0555,47,80265,588000,12,49000,0.61,699,1,4.4,si
CR0556,27,20957,142000,36,3944,0.188,761,5,10,no
CR0557,70,NA,313000,24,13042,0.154,698,4,5.8,si
CR0558,67,7763,45000,12,3750,0.483,633,0,4,si
CR0559,31,37645,92000,12,7667,0.204,675,1,8.6,si
CR0560,47,9221,41000,12,3417,0.371,772,2,0.7,si
CR0561,69,10165,78000,60,1300,0.128,639,4,7.7,si
CR0562,35,25231,159000,24,6625,0.263,731,2,2.8,no
CR0563,33,23373,133000,24,5542,0.237,701,2,1.9,si
CR0564,32,10831,24000,6,4000,0.369,709,1,4.5,no
CR0565,19,51268,200000,6,33333,0.65,601,1,2,no
CR0566,27,10469,73000,48,1521,0.145,740,5,2.6,si
CR0567,65,33081,155000,12,12917,0.39,575,1,16.1,no
CR0568,24,16713,55000,36,1528,0.091,745,1,7,no
CR0569,49,40517,118000,36,3278,0.081,602,4,5.7,si
CR0570,36,21061,79000,6,13167,0.625,766,3,7.2,no
CR0571,61,17563,102000,48,2125,0.121,696,1,6.2,si
CR0572,69,33111,127000,12,10583,0.32,600,1,10.4,si
CR0573,68,10084,51000,24,2125,0.211,623,4,1.7,si
CR0574,63,13370,40000,24,1667,0.125,704,2,3.7,si
CR0575,69,38684,250000,6,41667,1.077,567,4,2.8,no
CR0576,42,7909,28000,48,583,0.074,685,1,2.6,si
CR0577,68,23269,183000,12,15250,0.655,477,1,3.1,no
CR0578,30,20180,37000,36,1028,0.051,700,0,2.8,si
CR0579,27,35264,250000,24,10417,0.295,588,1,4,si
CR0580,37,9393,68000,24,2833,0.302,708,2,4.6,si
CR0581,52,41019,213000,60,3550,0.087,631,4,3.9,si
CR0582,49,9598,56000,12,4667,0.486,672,1,7,si
CR0583,39,24715,146000,12,12167,0.492,766,1,3,no
CR0584,55,NA,72000,24,3000,0.234,757,4,5.5,no
CR0585,27,15652,85000,36,2361,0.151,688,0,10,si
CR0586,34,NA,109000,12,9083,0.434,667,1,2.8,si
CR0587,42,34907,137000,36,3806,0.109,529,1,6,si
CR0588,68,42655,150000,6,25000,0.586,654,1,6.9,no
CR0589,31,34343,173000,24,7208,0.21,634,1,5.5,si
CR0590,74,32355,245000,48,5104,0.158,656,1,11.4,no
CR0591,63,62767,152000,36,4222,0.067,580,3,5,si
CR0592,52,25102,146000,60,2433,0.097,579,5,8,no
CR0593,33,24641,58000,12,4833,0.196,681,2,13.6,si
CR0594,53,NA,35000,12,2917,0.26,640,1,2.3,si
CR0595,62,30258,103000,24,4292,0.142,623,0,2.4,si
CR0596,18,38984,195000,36,5417,0.139,740,0,1,si
CR0597,68,7516,11000,24,458,0.061,569,2,14.1,no
CR0598,67,29521,62000,36,1722,0.058,801,2,6.3,no
CR0599,34,34110,240000,48,5000,0.147,647,1,7.1,si
CR0600,68,16215,78000,24,3250,0.2,515,1,8.3,no
CR0601,59,4178,23000,48,479,0.115,601,2,5.7,no
CR0602,21,18527,100000,60,1667,0.09,637,2,4,si
CR0603,51,39859,77000,48,1604,0.04,761,2,17.5,no
CR0604,19,NA,40000,36,1111,0.08,687,4,2,si
CR0605,27,41055,235000,36,6528,0.159,513,2,4.1,no
CR0606,63,19098,72000,24,3000,0.157,726,0,7,si
CR0607,62,62056,144000,12,12000,0.193,531,1,17.1,no
CR0608,64,14100,112000,12,9333,0.662,547,2,15.3,no
CR0609,20,30597,214000,36,5944,0.194,632,4,2,si
CR0610,70,26352,132000,48,2750,0.104,524,0,6.7,si
CR0611,38,8567,54000,6,9000,1.051,604,3,16.8,no
CR0612,22,NA,267000,24,11125,0.252,714,1,5,no
CR0613,46,17651,123000,12,10250,0.581,544,1,7.5,no
CR0614,34,NA,158000,36,4389,0.203,721,2,4.8,si
CR0615,43,13418,48000,60,800,0.06,737,4,5.9,si
CR0616,36,52019,165000,24,6875,0.132,644,0,3.5,no
CR0617,38,15161,116000,12,9667,0.638,501,6,5.9,no
CR0618,68,22793,76000,36,2111,0.093,526,1,3.3,no
CR0619,33,16421,44000,36,1222,0.074,652,2,14.1,si
CR0620,27,13240,79000,24,3292,0.249,735,2,9.7,si
CR0621,41,18894,32000,24,1333,0.071,NA,0,5.4,si
CR0622,59,42691,179000,48,3729,0.087,607,0,6.8,no
CR0623,58,18709,99000,6,16500,0.882,625,3,0.5,no
CR0624,61,26847,122000,48,2542,0.095,592,2,6.7,si
CR0625,72,23269,55000,24,2292,0.099,674,5,2.7,si
CR0626,31,27168,108000,60,1800,0.066,687,3,6.9,si
CR0627,36,22536,121000,48,2521,0.112,564,0,3.2,no
CR0628,36,NA,322000,12,26833,0.431,683,6,4.4,no
CR0629,38,35861,160000,36,4444,0.124,695,1,5.7,si
CR0630,58,25905,148000,24,6167,0.238,NA,4,4.9,no
CR0631,57,16410,71000,36,1972,0.12,619,0,15.5,si
CR0632,56,30737,163000,60,2717,0.088,713,1,10.9,si
CR0633,56,16639,123000,12,10250,0.616,558,1,4,si
CR0634,67,25375,120000,48,2500,0.099,828,1,24.2,no
CR0635,19,27801,148000,24,6167,0.222,721,0,2,si
CR0636,65,66288,147000,24,6125,0.092,NA,1,7.2,si
CR0637,52,19814,95000,60,1583,0.08,618,1,5.4,si
CR0638,46,23814,49000,60,817,0.034,748,2,3.2,si
CR0639,20,11605,37000,6,6167,0.531,635,3,3,no
CR0640,35,29618,67000,12,5583,0.189,672,0,18,si
CR0641,52,36706,201000,12,16750,0.456,550,4,5.2,si
CR0642,35,32393,239000,24,9958,0.307,577,1,7.4,si
CR0643,37,11634,21000,60,350,0.03,729,1,1.6,si
CR0644,25,40395,182000,12,15167,0.375,606,0,4.9,no
CR0645,23,39507,99000,24,4125,0.104,600,1,6,si
CR0646,58,15052,65000,24,2708,0.18,752,0,1.4,no
CR0647,27,9503,41000,48,854,0.09,850,3,7,no
CR0648,64,18140,120000,36,3333,0.184,825,0,14.6,no
CR0649,45,24560,143000,12,11917,0.485,771,0,12.6,no
CR0650,43,50596,173000,6,28833,0.57,472,2,5.9,no
CR0651,41,16689,121000,60,2017,0.121,681,2,4.2,si
CR0652,45,18744,126000,48,2625,0.14,828,2,3,no
CR0653,64,26053,196000,60,3267,0.125,620,1,10.6,si
CR0654,65,48303,170000,48,3542,0.073,692,1,3.7,no
CR0655,57,13365,58000,36,1611,0.121,662,1,4.5,si
CR0656,30,57682,353000,24,14708,0.255,711,2,5.9,si
CR0657,36,13133,26000,60,433,0.033,600,0,14.1,no
CR0658,47,26395,44000,60,733,0.028,626,0,5.2,si
CR0659,35,15454,116000,36,3222,0.208,641,2,3,si
CR0660,31,17748,36000,48,750,0.042,833,2,1,no
CR0661,50,151415,877000,36,24361,0.161,603,0,11.3,si
CR0662,19,24062,128000,60,2133,0.089,524,3,2,no
CR0663,64,18577,32000,12,2667,0.144,724,1,6.6,si
CR0664,27,35273,145000,36,4028,0.114,NA,6,0.7,si
CR0665,50,17521,43000,24,1792,0.102,537,1,3.2,no
CR0666,56,16014,116000,12,9667,0.604,554,1,10.4,no
CR0667,31,51317,226000,24,9417,0.184,573,1,10,si
CR0668,44,26572,124000,24,5167,0.194,695,2,4.8,si
CR0669,56,26981,195000,12,16250,0.602,713,3,4.8,si
CR0670,23,24689,196000,24,8167,0.331,NA,1,4.4,si
CR0671,50,NA,71000,36,1972,0.17,699,2,1.7,si
CR0672,30,13063,55000,60,917,0.07,541,4,1.1,si
CR0673,41,36550,233000,48,4854,0.133,NA,0,3.1,si
CR0674,55,35805,74000,12,6167,0.172,464,0,2.9,no
CR0675,66,31073,157000,60,2617,0.084,651,2,4.4,si
CR0676,19,65433,247000,48,5146,0.079,676,2,2,si
CR0677,42,38274,86000,36,2389,0.062,654,3,4.1,si
CR0678,64,29493,136000,36,3778,0.128,686,0,2.3,si
CR0679,30,13713,30000,12,2500,0.182,733,2,5.1,no
CR0680,46,32931,148000,36,4111,0.125,560,0,14.9,no
CR0681,62,25050,123000,60,2050,0.082,603,2,12.5,no
CR0682,65,13472,100000,12,8333,0.619,659,3,4.3,no
CR0683,72,18217,92000,12,7667,0.421,666,3,8.3,no
CR0684,41,17527,26000,12,2167,0.124,708,1,3.3,si
CR0685,33,23039,129000,24,5375,0.233,716,0,10.2,si
CR0686,70,71181,277000,48,5771,0.081,582,5,1.7,no
CR0687,68,24748,135000,60,2250,0.091,711,1,9.6,no
CR0688,59,32474,122000,24,5083,0.157,654,3,0.6,no
CR0689,19,27922,162000,12,13500,0.483,621,1,2,si
CR0690,71,10483,30000,12,2500,0.238,625,1,2.6,si
CR0691,22,24995,65000,6,10833,0.433,631,1,2.7,si
CR0692,67,42455,196000,36,5444,0.128,751,5,2.4,si
CR0693,28,74195,540000,24,22500,0.303,588,1,3.4,no
CR0694,29,34200,98000,60,1633,0.048,636,3,6,si
CR0695,31,6215,43000,12,3583,0.577,691,0,2.2,no
CR0696,37,53182,281000,6,46833,0.881,497,4,0.5,no
CR0697,27,38944,222000,12,18500,0.475,573,4,10,si
CR0698,70,22068,158000,48,3292,0.149,784,1,6.3,no
CR0699,65,24360,121000,24,5042,0.207,583,2,5.9,si
CR0700,67,75923,263000,36,7306,0.096,630,4,7.6,no
CR0701,66,16968,103000,48,2146,0.126,671,3,8.2,si
CR0702,66,13883,23000,12,1917,0.138,635,0,4.9,no
CR0703,49,18603,76000,36,2111,0.113,713,3,1,si
CR0704,32,18577,124000,48,2583,0.139,560,3,8.2,no
CR0705,61,18615,117000,24,4875,0.262,519,1,3.3,si
CR0706,63,NA,138000,12,11500,0.47,784,3,1.9,no
CR0707,25,25996,196000,60,3267,0.126,682,1,0.8,si
CR0708,45,16199,63000,36,1750,0.108,591,1,1.8,si
CR0709,42,40475,96000,12,8000,0.198,754,2,3.2,si
CR0710,48,41469,200000,60,3333,0.08,706,1,3.4,si
CR0711,33,33596,171000,36,4750,0.141,435,1,8.2,no
CR0712,46,26985,79000,60,1317,0.049,670,3,2.5,si
CR0713,40,11780,24000,48,500,0.042,677,3,6.1,si
CR0714,70,16203,90000,48,1875,0.116,731,1,9,no
CR0715,36,15251,83000,48,1729,0.113,454,3,2.9,no
CR0716,41,22818,135000,24,5625,0.247,613,1,5,si
CR0717,18,17950,68000,60,1133,0.063,741,4,1,no
CR0718,45,25647,147000,36,4083,0.159,513,4,1,no
CR0719,60,14926,114000,24,4750,0.318,774,2,6.5,no
CR0720,65,34791,258000,24,10750,0.309,649,2,4.1,si
CR0721,74,10139,42000,6,7000,0.69,692,4,4.3,no
CR0722,50,18611,54000,60,900,0.048,708,3,5.9,si
CR0723,56,6471,29000,12,2417,0.374,570,4,8.1,si
CR0724,44,28071,143000,6,23833,0.849,558,1,0.2,no
CR0725,40,24332,160000,36,4444,0.183,652,3,5.1,si
CR0726,31,NA,170000,36,4722,0.22,725,0,6.6,si
CR0727,41,17734,57000,24,2375,0.134,662,3,4,si
CR0728,30,46393,71000,24,2958,0.064,670,3,6.5,si
CR0729,29,31245,168000,36,4667,0.149,850,2,12,no
CR0730,61,NA,178000,48,3708,0.166,720,3,0.7,si
CR0731,43,30587,141000,12,11750,0.384,729,2,3.8,si
CR0732,55,34521,91000,24,3792,0.11,720,3,0.7,si
CR0733,38,12268,44000,12,3667,0.299,476,1,5.5,no
CR0734,45,15013,82000,60,1367,0.091,654,2,8.3,no
CR0735,31,29665,235000,12,19583,0.66,653,2,4.2,no
CR0736,51,40736,89000,12,7417,0.182,706,1,8.1,si
CR0737,50,11219,81000,48,1688,0.15,798,1,5.7,no
CR0738,61,11309,50000,24,2083,0.184,801,2,8.7,no
CR0739,62,54144,387000,36,10750,0.199,533,1,9.3,no
CR0740,70,35258,252000,48,5250,0.149,566,1,1.1,no
CR0741,63,54558,98000,24,4083,0.075,671,0,14.9,si
CR0742,32,21364,57000,12,4750,0.222,534,1,9.8,no
CR0743,55,68431,108000,12,9000,0.132,721,1,7.5,si
CR0744,29,7998,48000,24,2000,0.25,727,2,3.8,no
CR0745,65,7822,44000,36,1222,0.156,710,0,0.8,si
CR0746,42,17469,131000,36,3639,0.208,692,1,6.1,si
CR0747,67,11267,80000,6,13333,1.183,570,2,2.2,no
CR0748,65,23488,140000,60,2333,0.099,646,1,7.2,si
CR0749,62,27341,154000,36,4278,0.156,696,2,2.3,si
CR0750,43,NA,54000,36,1500,0.147,550,4,7.9,no
CR0751,46,6417,44000,60,733,0.114,477,3,4.5,no
CR0752,56,70398,240000,48,5000,0.071,742,1,11.9,no
CR0753,70,8263,15000,24,625,0.076,NA,1,2,si
CR0754,28,24422,175000,6,29167,1.194,620,1,8.9,no
CR0755,23,36703,75000,24,3125,0.085,537,2,1,no
CR0756,61,46926,205000,6,34167,0.728,726,2,11.8,no
CR0757,62,12066,28000,24,1167,0.097,793,5,9.1,si
CR0758,44,23403,68000,24,2833,0.121,773,0,4,si
CR0759,68,15484,114000,24,4750,0.307,619,1,1.7,si
CR0760,56,33848,78000,48,1625,0.048,687,2,4.8,si
CR0761,54,47932,255000,24,10625,0.222,NA,1,8.9,si
CR0762,19,8460,19000,24,792,0.094,717,1,2,no
CR0763,42,35757,78000,48,1625,0.045,720,1,6.2,no
CR0764,24,32772,61000,6,10167,0.31,691,3,7,si
CR0765,38,14003,39000,12,3250,0.232,635,0,0.9,si
CR0766,56,18283,31000,6,5167,0.283,543,2,9.5,no
CR0767,69,6652,52000,6,8667,1.303,710,1,4.5,no
CR0768,38,26020,53000,24,2208,0.085,619,0,10.4,no
CR0769,55,43772,271000,60,4517,0.103,502,2,9,no
CR0770,70,23678,40000,24,1667,0.07,773,3,8.8,no
CR0771,21,29905,92000,12,7667,0.256,655,1,4,si
CR0772,28,45783,298000,24,12417,0.271,485,2,3.2,no
CR0773,51,22540,116000,24,4833,0.214,NA,2,9.9,si
CR0774,75,21473,159000,24,6625,0.309,658,1,13.7,si
CR0775,34,43003,254000,24,10583,0.246,729,3,3.7,no
CR0776,62,6713,13000,60,217,0.032,628,1,3.3,no
CR0777,53,79459,284000,48,5917,0.074,712,1,8,si
CR0778,72,24329,120000,24,5000,0.206,625,1,3.8,si
CR0779,32,17491,50000,60,833,0.048,415,3,6.9,no
CR0780,53,18524,100000,24,4167,0.225,613,5,6.6,si
CR0781,74,11039,81000,24,3375,0.306,723,1,4.4,si
CR0782,28,27569,61000,12,5083,0.184,630,2,5.4,si
CR0783,73,27583,89000,36,2472,0.09,592,2,2.7,no
CR0784,36,18585,126000,12,10500,0.565,622,3,2.4,no
CR0785,71,7446,47000,24,1958,0.263,NA,0,12.9,si
CR0786,49,27132,206000,36,5722,0.211,578,0,7.1,si
CR0787,25,10712,54000,48,1125,0.105,811,5,3.1,no
CR0788,64,32567,166000,60,2767,0.085,619,1,2.7,si
CR0789,72,62391,305000,48,6354,0.102,635,2,9.8,si
CR0790,59,15313,28000,36,778,0.051,617,2,5.3,si
CR0791,28,11256,74000,36,2056,0.183,709,1,7.4,si
CR0792,47,50671,392000,48,8167,0.161,714,1,1.6,si
CR0793,32,13119,59000,12,4917,0.375,546,3,0.7,no
CR0794,65,62968,232000,36,6444,0.102,671,2,3.4,si
CR0795,47,6980,27000,48,562,0.081,642,0,4.7,si
CR0796,49,26690,182000,24,7583,0.284,632,3,4.9,si
CR0797,36,36284,75000,36,2083,0.057,450,1,7.6,no
CR0798,66,37628,263000,24,10958,0.291,579,2,4.5,si
CR0799,55,36481,259000,36,7194,0.197,631,1,7.3,si
CR0800,75,14452,63000,12,5250,0.363,721,1,6.7,si
CR0801,37,7223,57000,60,950,0.132,676,1,5.4,si
CR0802,61,43141,118000,6,19667,0.456,455,0,4,no
CR0803,28,13512,106000,24,4417,0.327,670,0,4.8,si
CR0804,65,NA,80000,24,3333,0.181,594,0,4.4,si
CR0805,71,27864,112000,60,1867,0.067,676,2,2.4,no
CR0806,33,24169,66000,24,2750,0.114,513,1,3.9,si
CR0807,36,NA,100000,60,1667,0.103,607,1,1.2,si
CR0808,64,NA,153000,24,6375,0.273,726,2,7.4,si
CR0809,33,11501,46000,24,1917,0.167,670,6,4.1,si
CR0810,70,49833,383000,24,15958,0.32,660,3,2.7,si
CR0811,73,33880,126000,36,3500,0.103,573,3,3.1,no
CR0812,56,13428,21000,60,350,0.026,699,1,7,si
CR0813,75,52684,420000,36,11667,0.221,587,2,2.3,no
CR0814,38,27534,184000,12,15333,0.557,738,4,4.8,si
CR0815,28,21045,73000,12,6083,0.289,NA,2,5.2,si
CR0816,23,57973,332000,36,9222,0.159,676,2,6,no
CR0817,21,25534,117000,24,4875,0.191,632,1,4,si
CR0818,59,24110,150000,48,3125,0.13,636,2,3.5,si
CR0819,72,39365,214000,12,17833,0.453,389,2,11.1,no
CR0820,51,12794,73000,36,2028,0.159,706,2,1.3,si
CR0821,40,28984,68000,36,1889,0.065,NA,1,7,si
CR0822,52,12627,25000,24,1042,0.083,708,0,5.5,si
CR0823,74,63981,351000,24,14625,0.229,635,0,2.4,si
CR0824,48,20815,118000,6,19667,0.945,505,2,2.8,no
CR0825,71,28032,86000,36,2389,0.085,850,2,3.2,no
CR0826,50,14959,37000,48,771,0.052,680,2,4.1,si
CR0827,74,21394,41000,36,1139,0.053,627,0,0.8,no
CR0828,18,31618,131000,24,5458,0.173,720,2,1,no
CR0829,28,9624,23000,24,958,0.1,609,1,10.4,si
CR0830,31,32115,166000,24,6917,0.215,536,1,5.2,si
CR0831,26,NA,98000,12,8167,0.194,621,4,6.3,si
CR0832,58,12715,78000,60,1300,0.102,670,0,5,si
CR0833,18,14405,22000,36,611,0.042,658,2,1,no
CR0834,19,11148,89000,12,7417,0.665,799,1,1.1,si
CR0835,37,10955,69000,48,1438,0.131,638,4,1.9,si
CR0836,42,29290,201000,6,33500,1.144,590,1,6.6,no
CR0837,61,21385,100000,24,4167,0.195,669,2,6.1,si
CR0838,72,12500,56000,24,2333,0.187,585,1,0.7,no
CR0839,63,31494,244000,24,10167,0.323,721,0,10.5,no
CR0840,64,16887,98000,12,8167,0.484,602,0,9.9,si
CR0841,26,30106,195000,24,8125,0.27,670,0,6.1,si
CR0842,30,49629,264000,36,7333,0.148,592,3,3.9,no
CR0843,62,NA,224000,12,18667,0.436,573,2,8.3,no
CR0844,38,5755,18000,60,300,0.052,724,1,5.1,no
CR0845,57,19630,71000,24,2958,0.151,576,3,4.4,no
CR0846,18,18830,69000,12,5750,0.305,613,2,1,no
CR0847,71,48587,338000,60,5633,0.116,564,0,4.7,no
CR0848,19,20096,137000,36,3806,0.189,637,1,2,si
CR0849,41,7416,42000,12,3500,0.472,749,1,2.7,si
CR0850,62,10379,37000,60,617,0.059,659,3,16.9,si
CR0851,47,29555,236000,24,9833,0.333,602,2,14.2,si
CR0852,51,23004,55000,60,917,0.04,668,3,1.8,si
CR0853,38,12425,35000,12,2917,0.235,714,2,11.3,si
CR0854,71,52828,121000,48,2521,0.048,621,2,10.6,no
CR0855,47,28415,200000,24,8333,0.293,688,1,4.7,si
CR0856,32,13573,105000,24,4375,0.322,484,0,11.6,no
CR0857,46,21796,121000,36,3361,0.154,641,4,3.5,si
CR0858,50,9494,32000,36,889,0.094,730,1,4.9,si
CR0859,31,23837,90000,6,15000,0.629,757,2,14,si
CR0860,21,24243,60000,24,2500,0.103,620,2,4,si
CR0861,22,37193,159000,6,26500,0.712,622,1,5,no
CR0862,41,26698,110000,24,4583,0.172,788,6,1.3,si
CR0863,73,12885,78000,48,1625,0.126,719,2,2.4,no
CR0864,59,21152,167000,60,2783,0.132,820,3,1,no
CR0865,29,13323,85000,12,7083,0.532,734,2,2.7,si
CR0866,31,39781,81000,24,3375,0.085,531,1,14,si
CR0867,54,20789,60000,24,2500,0.12,715,4,3.3,si
CR0868,27,30658,111000,60,1850,0.06,510,2,2.1,no
CR0869,52,NA,83000,36,2306,0.138,728,0,17.4,no
CR0870,35,9609,30000,36,833,0.087,NA,0,10.8,si
CR0871,69,44214,201000,12,16750,0.379,850,3,5.6,no
CR0872,49,18695,148000,24,6167,0.33,547,0,4.9,si
CR0873,73,37315,72000,36,2000,0.054,454,0,3.9,no
CR0874,61,27878,186000,24,7750,0.278,583,0,6.9,si
CR0875,25,59960,115000,12,9583,0.16,571,1,3.7,no
CR0876,19,49304,330000,24,13750,0.279,602,1,2,si
