jugador_id,sesiones_semana,duracion_sesion_min,velocidad_apuestas_min,num_juegos_distintos,apuesta_promedio_mxn,num_depositos_mes,pct_juego_madrugada,pct_incremento_tras_perdida,retiros_mes,ratio_perdida_pct,dias_desde_registro,deposito_mensual_mxn
JUG0498,2,68,5.4,3,1081,1,6.5,15.4,2.6,30.3,1194,1380
JUG0306,4,40,6.4,6,121,3,13.8,7.4,2.7,49.5,607,280
JUG0438,7,96,10.4,4,215,7,49.2,43.6,0.7,67.7,85,1194
JUG0012,1,33,3.6,2,39,0,0,2.2,1.7,10.6,441,65
JUG0194,2,7,5.5,1,43,1,2.5,3.7,0.5,20.5,132,NA
JUG0026,4,23,3.1,2,47,2,2.6,4.2,1.3,38,86,0
JUG0019,1,17,2.5,3,32,1,0,1.9,1.2,40.9,561,0
JUG0099,1,10,2.4,4,53,2,10.1,1.5,1.1,34,362,249
JUG0311,2,39,5,8,121,3,7,9.2,3,57.8,537,0
JUG0208,4,53,6.2,5,162,4,16.8,4.2,3.3,51.2,370,746
JUG0097,1,8,4.1,4,61,1,9.1,5.3,1.1,38.7,394,20
JUG0487,6,68,6.6,4,1972,4,10.5,26.3,2.7,47.3,917,7265
JUG0341,6,49,5.1,6,176,2,11.3,11.3,3.3,54.9,698,368
JUG0390,13,118,10.5,4,242,5,43.2,58.3,0.6,69.5,447,1270
JUG0069,1,21,3.1,4,24,1,7.7,0,0.5,44.9,454,0
JUG0146,1,13,2,3,35,1,3.8,3.2,0.4,29.4,493,0
JUG0015,0,31,2.8,2,72,2,7.2,3.9,0.6,40.9,368,137
JUG0455,6,58,7.2,5,1209,3,18.5,11.8,0.3,63.5,934,3850
JUG0403,9,83,11,4,256,11,43.9,29.7,0,73.3,345,2438
JUG0034,2,19,2.5,2,59,3,4.9,0,0.3,15.4,255,257
JUG0229,6,47,5,7,154,3,10.7,6.9,2.4,41,818,81
JUG0261,5,46,5.5,8,106,3,11,11.1,2.5,40,534,340
JUG0182,3,14,2.9,1,49,1,0,0.3,0.7,20.7,454,232
JUG0118,3,13,4.4,3,40,1,10,5.3,0.3,13.8,460,NA
JUG0025,2,14,2.8,3,18,3,4.8,3.8,0.5,37.4,509,124
JUG0383,8,102,14.7,5,308,7,48.4,56.4,1.2,89,237,2109
JUG0077,4,22,2.2,2,36,2,3.9,2.4,1,39.5,30,284
JUG0020,3,12,1.3,4,50,0,2.9,0.3,1.9,29.9,249,0
JUG0155,3,22,3.3,2,57,1,8.7,4.7,0.3,11.6,30,135
JUG0085,2,43,1.5,3,31,1,2.2,4.7,1.5,38.5,202,245
JUG0221,5,59,8.9,7,90,3,5.6,4.4,1.6,42.5,665,642
JUG0483,4,56,6.2,5,1275,3,0,15.1,2,47.9,1184,3052
JUG0263,4,47,5.5,6,197,3,14.5,12.7,1.4,44.8,429,449
JUG0106,3,18,3.4,3,39,3,2.8,0.8,1,38,692,286
JUG0078,3,21,2.4,1,18,3,3.7,4,0.2,16.8,319,33
JUG0013,2,15,1.9,3,36,2,2.9,2.8,0.5,43.7,194,289
JUG0170,2,13,3.4,1,44,2,4,2.2,0.4,24.8,520,44
JUG0367,9,66,14,5,368,9,54.7,50.7,0.5,81.3,260,3087
JUG0203,5,48,6,5,69,4,15.4,8.1,2.1,36.6,565,471
JUG0044,2,24,1.5,1,35,2,5.5,0,0.5,32.2,450,0
JUG0339,6,36,6.7,5,103,5,18,13.4,1.6,16.6,1027,731
JUG0127,1,19,4.2,1,39,2,5.3,0,0.9,28.2,376,281
JUG0488,5,44,10,3,1299,4,6.4,8.8,1.3,75.8,736,4423
JUG0183,2,17,4.9,2,49,1,3.7,3.1,1.1,30.9,396,0
JUG0093,2,28,1.8,3,0,2,2.3,0.3,1.3,22,365,151
JUG0265,5,53,4.9,6,111,2,9,9.9,3.2,40.8,856,260
JUG0336,6,10,7.5,8,76,4,12.8,8.2,2.8,38.2,513,402
JUG0260,4,52,5.7,8,77,3,15.3,17.9,3.3,61.7,443,328
JUG0004,2,31,2.7,2,28,2,4,3.7,0,29.1,458,61
JUG0307,4,58,4,5,123,3,17.1,9.3,1.1,16.9,673,402
JUG0042,3,26,3.1,2,33,1,3.3,0.4,0.7,7,614,0
JUG0297,4,34,7.2,7,135,1,13.2,3.8,3.9,31.4,459,119
JUG0110,1,26,3.4,1,29,2,10.9,3.9,0,35.9,425,0
JUG0140,2,16,2.4,1,18,1,9.1,1.1,0.8,30.4,268,0
JUG0232,6,52,4.5,6,83,2,19.2,5.5,2.4,40.4,701,56
JUG0304,6,32,6.3,5,86,4,7.5,15.5,3.5,33.6,529,301
JUG0023,1,14,1.3,3,50,2,1.5,3.2,0.4,29.8,354,450
JUG0309,6,46,7,4,125,2,15.4,14.4,1.8,40.3,642,235
JUG0314,7,41,6.7,6,118,1,11.5,2.9,2.9,4.9,555,14
JUG0218,7,73,3.7,6,137,3,6.3,11.3,3.1,50.9,501,NA
JUG0330,7,65,1.9,4,99,4,8.6,7.8,2.3,44.2,551,413
JUG0298,4,46,4.8,5,119,4,11.2,6.2,1.9,46.4,97,NA
JUG0430,10,126,15.9,4,273,6,36.5,32.1,0.4,80.6,185,1661
JUG0254,5,44,7.4,5,93,6,12.1,8.5,1.6,44.1,569,824
JUG0293,7,32,5.3,6,119,2,15.1,10.2,3.9,37.4,345,215
JUG0087,2,16,2.4,2,42,2,10.8,0,0.5,23.9,235,90
JUG0437,12,87,8.4,5,237,9,48.3,32.6,0.2,84.7,579,2228
JUG0037,3,23,2.8,2,53,2,4.6,3.6,0.3,45.5,30,328
JUG0199,1,31,3.1,1,3,1,8.3,4.9,0.8,55.9,453,0
JUG0362,6,142,10.6,6,209,13,53.3,29.8,0.7,55.9,279,2731
JUG0022,2,26,2.6,2,53,2,3.5,1.6,1.2,41.4,303,NA
JUG0348,7,42,7.3,5,184,4,6.9,4.1,2.8,41.6,673,605
JUG0460,9,87,9.2,5,698,3,12.6,4.6,0.6,52.5,341,1813
JUG0071,3,37,4.2,1,41,2,6,3.2,1,26.8,149,143
JUG0101,3,28,3.8,1,25,1,5.4,5.2,0.2,12.5,387,0
JUG0050,2,14,3.2,1,67,1,13.2,0,1.3,17.9,394,226
JUG0286,5,32,8.6,6,128,5,9.6,10.6,2.1,33.3,830,656
JUG0228,4,40,5.1,6,92,3,9.5,11.7,1.7,70.3,440,70
JUG0029,3,16,1.7,2,49,1,7,3.7,0.6,37,553,59
JUG0496,3,89,8.1,3,2076,6,4.8,17.2,3.3,46.3,1048,11061
JUG0316,1,26,5,5,66,2,13.9,10.4,2,47,626,141
JUG0089,3,18,3.3,4,40,2,5.1,3.7,0,20.8,98,0
JUG0135,2,9,1,1,69,2,3.3,3.5,0.8,24,425,495
JUG0176,2,24,3.4,3,44,1,6,2.9,0.1,40.3,421,7
JUG0425,12,109,12.1,4,212,10,41.7,61.9,0,83.7,81,1677
JUG0243,7,40,7.3,5,208,3,6.8,0,2.3,38.2,479,912
JUG0133,3,21,3.1,4,53,1,0.6,2.8,0.8,42.8,471,300
JUG0271,6,62,9.2,5,137,3,3.3,1,2.6,34.2,646,NA
JUG0045,1,10,2.8,3,54,2,5.4,3.9,0.6,36.1,235,345
JUG0452,6,49,7.9,5,1345,3,9.1,10.4,1.4,43.2,1000,4439
JUG0450,2,39,8.1,3,591,4,7,16.9,0.7,50.3,989,2756
JUG0167,3,22,2.6,2,56,1,1.2,0.1,0.8,30.7,337,145
JUG0161,3,12,1.4,2,30,1,0,3.2,0.4,46.9,483,0
JUG0082,4,27,2.1,1,16,2,7,0,0.3,52.5,489,406
JUG0340,6,64,5.6,5,115,4,11,14.6,1.7,41.9,764,164
JUG0354,10,83,18.5,3,337,3,48.5,33,0.6,96.3,341,1426
JUG0168,1,14,1.1,2,54,2,1.1,1.7,1.1,27.4,472,NA
JUG0471,4,79,6.6,1,1255,7,19.3,2.3,0.5,29,432,7201
JUG0083,1,25,2.5,1,33,1,7.7,2.7,0.9,27.8,369,203
JUG0148,3,19,3.4,2,62,1,7.3,0.9,0.8,24.4,589,168
JUG0231,5,43,5.4,10,140,2,10,4.1,2.8,59.4,693,194
JUG0419,13,91,15.5,4,188,8,42.8,45.2,0.6,70.9,510,1476
JUG0434,12,68,16,6,336,11,51.6,34.1,0,83.4,666,3186
JUG0102,2,19,3.9,3,39,2,6.4,2.3,1.5,15.1,435,0
JUG0277,6,35,3.9,6,120,2,6.8,7.6,2.4,42.4,693,423
JUG0308,7,48,5.6,5,172,2,11,10.4,1.1,39.4,539,563
JUG0128,2,24,3.6,1,51,2,4.2,4.9,0.4,22.6,407,48
JUG0239,6,40,5.4,6,108,3,9.1,8,2.5,31,463,499
JUG0011,2,22,3.9,3,56,1,4.9,1.2,0,33,532,0
JUG0402,14,86,8.1,5,221,8,60.4,52.1,1.1,83.6,158,2015
JUG0269,6,49,3.5,6,108,2,21.1,2.9,2.8,49.5,434,78
JUG0361,15,76,13,4,283,7,62,22.2,0.3,57.2,56,2735
JUG0486,7,34,8.4,3,1201,4,3.5,8.9,1.7,32,920,4062
JUG0407,18,94,9.1,6,277,6,65.9,34.4,0.6,88.8,151,1658
JUG0331,2,43,5.6,6,79,3,7.4,4.4,3.9,44.8,518,244
JUG0164,3,13,1.4,2,45,1,6.7,0.6,0.6,13.5,361,10
JUG0076,1,23,2.2,1,29,0,3.1,0,1,33.5,359,77
JUG0421,15,83,15,6,213,8,37.9,37.6,0,75.9,482,1400
JUG0470,7,47,8.9,5,1856,5,16.1,9.5,1.5,76.9,1120,9850
JUG0347,6,45,6.8,7,115,4,7.7,8.8,2.9,31.7,677,0
JUG0115,1,18,3,3,36,1,3.4,1.6,1.3,25.6,351,0
JUG0257,5,60,6.9,4,93,3,11.6,10,1.6,44.2,655,343
JUG0381,12,98,14.1,5,188,5,57.9,51.2,0.9,97.9,145,1058
JUG0449,4,54,9.1,3,1158,3,12.7,15.5,2.4,48,1023,4354
JUG0152,2,22,0.6,4,32,1,6.6,4.4,0.6,31.8,292,424
JUG0136,2,19,2.4,1,35,2,3.7,1.8,0.9,30,501,259
JUG0051,1,27,4.3,3,49,1,4.3,2.6,0.9,34.4,475,60
JUG0319,6,27,6.4,6,102,5,9.5,5.1,3.4,57.4,391,637
JUG0375,18,104,15,5,399,9,39.9,28.4,0,41.2,128,3362
JUG0313,7,86,8.1,7,133,3,10.7,4.4,2.9,44.3,527,481
JUG0454,4,89,6.1,4,1443,4,0,1.4,3.1,62,649,6218
JUG0275,6,43,3.2,6,165,4,13.6,13,1.1,66.2,864,733
JUG0262,6,40,3.6,6,83,3,13,7.9,3.2,67.1,949,0
JUG0098,2,18,3.2,2,48,2,3.5,0,0.1,31.9,96,0
JUG0406,6,110,12.4,5,227,14,49,47.8,0,96.6,124,2928
JUG0212,6,47,2.9,6,111,2,12.7,8.6,0.7,35.3,559,368
JUG0204,2,47,5.3,4,89,4,12.8,10,1.9,40.9,958,338
JUG0049,3,23,3.1,3,15,2,2.3,2.9,0.1,23.7,470,0
JUG0326,6,48,4.9,6,192,2,15.1,5.5,2,60.9,771,639
JUG0420,12,116,12.8,5,210,12,59.3,46.6,0,77.1,31,1879
JUG0184,3,15,2.5,3,33,0,1.3,0,1.2,32.3,208,0
JUG0285,6,49,4.1,8,169,4,15.9,5.2,2.7,12.3,568,997
JUG0047,3,21,2.1,2,37,3,5.5,2.7,1,38.3,231,0
JUG0210,7,42,5.2,7,146,3,13.3,3.6,3.2,48,728,306
JUG0444,2,54,5.8,5,650,3,5.8,21.4,2.8,62.5,1073,1469
JUG0151,2,22,3.5,2,22,0,3.3,0,0,57.6,66,362
JUG0436,6,74,11.5,4,31,11,48.3,44.6,0.2,91.3,91,565
JUG0443,3,46,9.5,4,816,3,18.1,14.9,2.2,46.7,883,2238
JUG0038,1,40,5.4,2,41,1,1.5,5.7,0.6,38.2,282,266
JUG0305,4,54,5.5,8,58,2,12,3.3,2.4,51.4,892,385
