municipio,pct_urbano,pct_ocupados_primario,pct_ocupados_servicios,densidad_pob_km2,pct_poblacion_indigena,escolaridad_prom_anios,pct_viviendas_internet,pct_agua_entubada,tasa_mort_infantil,pib_per_capita_mxn,gasto_pub_per_capita_mxn,indice_rezago_social
Municipio_281,92.4,0,74.2,1491.8,2.5,6.2,21.2,70.1,23.2,89941,7705,0.9
Municipio_213,77.6,0,63.4,1444.4,0,6.8,20.9,65.4,17.5,NA,8509,0.75
Municipio_183,28.1,49.1,23.6,184.5,27.8,11.9,71,90.5,6.2,202009,8328,-1.01
Municipio_159,24.9,61.9,24.3,5,40.8,11,51.5,97.2,3.9,206790,6929,-0.74
Municipio_192,80,3.9,74.6,1639.5,13.6,5.9,36.3,60.7,20.7,51400,8273,0.98
Municipio_387,32.5,44.8,45.6,157.8,33.7,7.5,13,69.3,25.3,136021,6905,0.9
Municipio_065,64.2,0,79,1284.7,0,10.8,78.3,84.3,8.7,218393,8022,-1.09
Municipio_070,86.8,0,76.2,1144.9,15.3,12.3,93.5,94.1,5.9,222495,6404,-1.48
Municipio_364,9.5,60.5,10.3,105.9,30.7,6.7,22.7,71.9,18.4,64728,8815,1.15
Municipio_207,79.7,10.7,80.3,1037.1,7.3,6.5,48,78.6,16.1,70079,7529,0.52
Municipio_064,81.5,0,72.6,1827.5,0.8,12.2,59.3,99.4,8.7,196876,8105,-1.16
Municipio_055,77.3,0,64.2,1429.5,4.2,10.9,74.3,93.2,13.1,262468,7468,-1.15
Municipio_240,100,10,78.2,1604.8,5.5,7.8,21.2,62.6,22.1,112468,6512,0.8
Municipio_282,100,12,65.8,1316.1,0.6,5.3,11.7,72.5,22,38767,5604,1.05
Municipio_229,90.9,0.4,61.4,944.7,1.1,7.5,30.9,72.4,25.9,82921,7339,0.51
Municipio_101,39.6,43.3,28.3,5,40.6,10.4,64,97.8,5,259165,5962,-0.99
Municipio_300,83.8,13.3,78.6,1262.5,10,4.6,25.9,73.3,23.5,53824,6164,0.96
Municipio_128,23,50.5,29.4,399.4,34.1,11.9,82.1,97,9.2,249729,6618,-1.17
Municipio_062,87,0,94.7,1045.6,0.4,11.2,87.6,100,6.4,NA,7875,-1.2
Municipio_214,81.1,7.5,58.7,1469.3,3.6,7.8,29,75.5,21.4,NA,5303,0.61
Municipio_057,70.2,0,71.2,1643.8,0,10.9,68,99.1,7.2,194177,7709,-0.96
Municipio_291,99.2,1.3,56.7,1600.9,5.1,6.8,32.2,57.7,19,77200,9859,1.15
Municipio_255,100,2.9,81.6,1376.6,4.9,5.4,18.4,82.9,17,81052,7643,0.65
Municipio_389,16.2,67.1,28.3,622.4,31.1,5.7,44.5,68.7,18.7,63132,8111,0.63
Municipio_023,68.3,0,68.6,1335.4,13.2,11.9,72.8,100,8.4,218913,6426,-1.09
Municipio_297,80.6,0,84.3,1960.4,0.6,7,24.1,76.1,22.5,72404,9181,0.47
Municipio_009,86.4,3.6,74.5,770.1,0,10.8,74.8,90.7,8.7,211921,8242,-0.83
Municipio_235,78.2,18.7,84.8,1127.2,0,5.9,24.9,61.4,24.8,NA,7652,0.98
Municipio_348,38.3,60.8,30.1,542.5,28.4,8.2,33.9,73.1,21.4,83898,7818,0.43
Municipio_046,100,16.3,80.2,1841,0,10.8,71,93.5,7.3,238504,8212,-0.91
Municipio_004,84,6.9,63.7,1358.7,0,10.5,89.8,100,6.6,175044,5570,-1.44
Municipio_042,94.3,0,69.2,1352.3,7,10.9,81.5,92.4,7.1,225940,7270,-0.83
Municipio_388,25.2,42.1,41.3,182.2,38.7,6.7,14.8,74.7,23.1,42910,8657,0.68
Municipio_014,82.3,0,70.6,1871.4,8.7,11.7,76.4,87.1,7.3,246561,8224,-1.08
Municipio_160,29.1,36.8,40.2,399.3,25.4,11.2,69.9,91.1,7.4,298905,8204,-0.82
Municipio_343,39.6,59.2,21.1,89.5,34.9,6.7,20.2,70,20.6,75457,4555,0.79
Municipio_154,31,57.2,41.6,524,36.3,10.8,87.3,96.6,6.2,223977,8462,-0.82
Municipio_265,83.5,11.5,72.6,1604.5,0,6.5,12.9,61.5,18.1,20000,8381,0.96
Municipio_043,70.5,10.3,83.9,1721.5,9.3,10.9,62.6,90.3,9.9,259892,7843,-0.66
Municipio_355,5.4,56.8,29.1,484.1,29.3,8.7,27.3,75.4,23,58910,7870,0.23
Municipio_177,2.7,52.5,32.2,484.1,34.2,10.8,86.3,97.7,9.5,216967,9249,-0.97
Municipio_010,79.3,19.2,89.9,1343,10,10,83.5,94.1,6.3,251158,8501,-0.94
Municipio_136,23.8,41.1,16.6,389.4,33.6,11,74.8,98.9,6.6,213515,7644,-1.16
Municipio_124,35.8,55.4,29.3,5,36.6,10.3,63.5,97.1,11,267992,8619,-0.71
Municipio_302,22.8,61.7,34.4,5,32.4,6.9,32.4,71.5,19.8,92196,6884,0.54
Municipio_036,99,26.2,46.3,1923.7,8.9,11.1,45.6,100,6.7,216220,5538,-0.67
Municipio_172,16.8,61.8,14.2,90.6,42.9,12.2,81.5,84,5.9,210413,7989,-1.11
Municipio_375,50.4,56.6,25.2,5,37.8,8.4,29.9,62.5,21.7,93145,6610,0.84
Municipio_365,37.9,48,32.5,452.1,25.4,6.7,14.7,72.4,23.1,20000,9419,0.87
Municipio_135,30.3,52.7,27.4,159.4,37.2,13.1,74.7,99.4,10.8,245887,7439,-1.58
Municipio_108,42.8,61.4,34,48.4,38,12.2,77.3,94.3,7.6,189711,8558,-0.94
Municipio_225,81.4,0.6,72.4,1309.6,7.7,6.8,44.1,68.7,21.8,56731,7764,0.5
Municipio_063,82.6,0,75.9,1383.3,10.8,10.3,81.6,89.6,5.6,227502,9329,-0.77
Municipio_339,32,58.9,16.4,5,33.5,6.3,19.3,72.3,19.8,20000,6460,0.75
Municipio_222,54.6,11.7,69.9,1449.1,0.4,5.1,21.2,66.4,18.9,NA,4516,0.85
Municipio_153,36.9,49.5,26.1,5,30,10,96.9,96.2,11.1,175940,8601,-1.19
Municipio_180,24.8,48.9,25.1,8.1,45.7,9.5,63.7,91.6,3.3,273027,6631,-0.69
Municipio_211,74.5,0,82.2,1393.3,0,4.5,9.5,68.9,18.5,69694,6894,1.6
Municipio_175,25.8,38.3,34.3,208.9,33.6,10.7,79.4,100,8.2,259925,7138,-1.04
Municipio_310,32.2,57.7,30,5,34.6,8.1,26.3,79.3,26.1,77079,8395,0.47
Municipio_163,14.5,65.3,20.9,5,32.9,10.3,70.3,100,5.7,NA,6472,-0.82
Municipio_205,81.5,9.6,84.2,1748.9,0,6.5,25.8,69.3,18.4,22275,6580,0.74
Municipio_251,81.4,2.3,86.9,2198.8,10.7,7.1,4.4,67.8,26,42766,8826,1.48
Municipio_390,28.3,72.5,31.8,21.7,23.9,6.6,12.2,64.7,19.8,91553,8509,1.01
Municipio_166,22.4,48.4,27.9,5,30,11.9,86.2,93.8,5,283766,9266,-1.11
Municipio_223,78.5,21.6,58.1,2127.6,3.9,5.4,2.7,62.9,27.4,101572,8889,1.42
Municipio_289,100,18.9,77.2,1623.4,3.3,6.1,0,69.2,19.8,74191,7918,1.33
Municipio_125,4.1,62.9,32.1,388.9,33.3,11.4,89.5,96.9,10.7,269046,7202,-1.14
Municipio_258,100,0,75.5,1109.8,2.6,7,21.3,66.4,19.8,58038,7103,0.81
Municipio_278,75.4,0,68.7,1271.3,1,8.1,24.9,66.8,15.9,73976,5181,0.44
Municipio_056,82.2,0,78.2,1664.7,5.2,10.5,98.8,93.1,2.4,238429,5423,-1.14
Municipio_146,14.1,59.1,32,5,31.6,11,87.9,90.6,6.1,270575,6515,-1.17
Municipio_127,18.5,61.7,28.7,5,26,11.2,98.3,100,3.8,187308,7836,-1.34
Municipio_152,29,52.9,19.9,154.9,30.7,10.8,89.7,92.8,10.6,236747,7124,-1.27
Municipio_345,17.8,50.6,23.1,495.3,40.6,6.6,16.6,62.6,18.3,71646,7408,1.26
Municipio_394,28.9,44.8,49.6,155.8,34,6.3,15.2,64.7,13.5,77368,10045,1.23
Municipio_367,14.9,54.9,22.6,133.1,44.7,8.1,23,62.5,18.8,46135,8030,0.75
Municipio_151,25.3,45.9,25.4,147.3,30.9,10.2,71.9,100,2.4,235310,5132,-0.78
Municipio_119,52.5,59.1,24.2,187.6,30.2,11.4,61.7,93.8,8.4,235300,7630,-0.65
Municipio_333,14.5,45.9,26.8,604.4,38.9,7.3,14.4,61.4,18.9,35129,5690,0.91
Municipio_312,20.4,52.9,26.9,88.7,48.7,6.3,13,63.5,20.8,101947,10156,1.02
Municipio_022,83,3,72.2,1551.3,2.3,12.1,76.3,99.4,2.9,193428,8560,-1.43
Municipio_257,82.3,13.1,74.4,1090.7,3.9,6.1,33.5,64.9,24.3,20000,6454,0.97
Municipio_113,20.8,60.9,28.8,505.6,43.1,9.9,86,98.7,7.7,NA,9415,-0.77
Municipio_066,81.7,1.5,79.4,1297.5,0,10.6,63.7,100,5.5,207985,5324,-0.57
Municipio_382,28.1,57.7,25.5,5,42.4,7.8,18.2,59.3,24.5,66661,8934,1.01
Municipio_250,78.5,8.9,76.3,1492.3,1.3,8.1,22.9,83.2,22.4,NA,9827,0.6
Municipio_337,24.8,68.7,40.4,173.7,32.4,7.5,29.6,72.1,18.8,40156,6778,0.38
Municipio_198,66,7,78.3,1070.6,6.2,7.1,32.8,57.4,25.9,45846,7900,0.85
Municipio_336,29.3,66.6,20.6,5,38.6,5.7,10.4,66.7,25.3,72316,7872,1.19
Municipio_033,81.9,0,72,1707.7,0,10.9,71.3,100,7,233404,6298,-1.03
Municipio_162,14.6,43.9,18,5,35.7,11.8,70.4,99.4,5.1,219120,7682,-1.1
Municipio_358,16.8,40.4,24.5,445,30.7,6.2,21.2,69.4,23.5,47153,7163,0.78
Municipio_079,80.9,18.3,83.1,1804.7,0,11.7,70,95.9,7.1,269208,7147,-1.06
Municipio_283,65.5,8.7,69.1,1229.3,0.2,6.3,12.4,73.8,25.7,103816,8792,1.01
Municipio_311,1.4,51.2,25,426.4,40.1,6.7,18.7,60.9,22.1,90672,8076,1.18
Municipio_220,100,3,57.9,1372.7,1.1,5.2,30.3,65.3,17.7,79143,7453,0.84
Municipio_351,38.5,50.5,30.9,348.6,28.8,6.9,4.9,66,20.2,20000,8205,1.17
Municipio_148,34.3,59.9,31.3,357.7,29,12.6,77.4,91.1,9.9,220975,7480,-1.23
Municipio_168,17.6,48,22.3,5,25.2,12.2,71.3,90,8.9,245972,8234,-0.93
Municipio_117,21.6,69.1,0,5,31.5,9.7,78.9,92.4,3.5,254610,8629,-0.74
Municipio_013,82.3,0,100,1875.4,0,11.1,74.3,94.9,6.9,282324,6862,-0.82
Municipio_095,63.1,11.1,94.9,1530.3,10.4,10.5,72.4,85.5,6.8,223235,5627,-0.62
Municipio_238,92.4,0,97.2,1149.3,0,5.8,26.6,63,20,29941,5658,0.99
Municipio_165,20.2,56.6,20.1,224.1,33.4,11.5,61.6,96.1,8.8,234962,8606,-0.57
Municipio_053,73.8,1.9,65.2,1413.4,10.1,11.7,72.1,87.9,12.8,235080,5383,-0.9
Municipio_231,82.1,20.6,67.5,1218.1,0.4,7.2,34,72.9,18.2,31571,7818,0.6
Municipio_399,43.3,34.8,26.9,626.7,30,7.6,1.1,74.7,21.7,80445,6879,1.03
Municipio_103,22.3,57.9,20.7,541.8,36.1,12.3,82.2,98.2,8.7,220735,7807,-1.38
Municipio_286,82.4,0,73.7,1530,0,6.9,28.6,75.9,24,47205,7002,0.54
Municipio_298,80.6,0,75.7,1124.9,0.6,6.7,25.6,66.4,22.6,41497,6772,0.95
Municipio_120,12.2,64.8,35.2,44.2,22.1,11,57.3,100,12.4,184183,9127,-0.78
Municipio_326,33.5,72.5,28.8,55.4,38.2,8.4,5,67.2,17.9,47497,6904,0.85
Municipio_048,80.2,4.2,71.8,1764.1,0,10.6,87.1,98.5,7.9,202122,7010,-1.31
Municipio_371,31.4,40.8,22.1,5,45.9,5.4,24.1,63,19.3,20000,8306,1
Municipio_138,31,29.4,26.3,5,24,11.5,67.8,91.1,6.4,270034,7719,-0.75
Municipio_143,35.2,46.7,18.8,46.7,36.4,11.5,75.2,89.9,8.6,141125,7787,-0.91
Municipio_352,16.5,54,3.4,5,30.8,7.7,28,71.7,14.9,51580,10622,0.19
Municipio_090,100,25.3,84,1500.1,0,11,91.5,86.7,6.7,207866,9075,-0.83
Municipio_379,20.6,63.6,33.8,117.4,37.5,6.7,30.1,62.1,18.2,77207,7857,1.27
Municipio_266,73.4,1.2,66.6,1505.3,0,7.9,43.2,70.5,22.2,51233,6183,0.53
Municipio_003,86.7,15.6,62.5,1478.8,5.7,11.4,74.8,82.3,5.1,227008,9727,-0.98
Municipio_176,26.6,51.8,28.4,112.4,38.4,11.5,55.2,95.8,5.2,190665,5741,-0.72
Municipio_360,16.9,49.1,44.9,5,30.8,6.2,24,62.9,22.7,20737,8536,1.22
Municipio_129,31.6,60.5,26.7,211.9,30.7,10.8,72.9,96.7,4.6,211521,6693,-0.81
Municipio_099,72.1,10,73.9,1742.2,7.3,12.1,61.4,84.4,3.4,265680,8136,-1.15
Municipio_077,100,3.8,74.3,1094.6,0,11,60.7,94.6,9.9,195227,7919,-0.95
Municipio_308,44.9,48.7,33.8,307.3,34,7.9,33.7,63.2,23.4,20000,5844,0.67
Municipio_377,30.9,63,38.4,216.6,24,7.8,6.9,67.9,20.4,46772,7407,0.88
Municipio_029,92.7,0,70.4,1294.6,5,11.8,68.2,99.4,7.7,250117,7118,-1.05
Municipio_123,27.8,61.9,24.7,5,31.9,11,77.3,96.1,8.8,222563,7833,-1
